"goal","dimension","region_id","score"
"AO","future",0,16.07
"AO","future",1,16.09
"AO","future",2,16.1
"AO","future",3,16.09
"AO","future",4,16.05
"AO","future",5,16.05
"AO","future",6,16.04
"AO","pressures",1,36.86
"AO","pressures",2,36.87
"AO","pressures",3,36.17
"AO","pressures",4,36.95
"AO","pressures",5,37.06
"AO","pressures",6,37.12
"AO","resilience",1,64.38
"AO","resilience",2,64.67
"AO","resilience",3,63.8
"AO","resilience",4,63.83
"AO","resilience",5,63.9
"AO","resilience",6,63.79
"AO","score",0,15.54
"AO","score",1,15.54
"AO","score",2,15.55
"AO","score",3,15.55
"AO","score",4,15.53
"AO","score",5,15.53
"AO","score",6,15.52
"AO","status",0,15
"AO","status",1,15
"AO","status",2,15
"AO","status",3,15
"AO","status",4,15
"AO","status",5,15
"AO","status",6,15
"AO","trend",1,-0.03
"AO","trend",2,-0.03
"AO","trend",3,-0.03
"AO","trend",4,-0.03
"AO","trend",5,-0.03
"AO","trend",6,-0.03
"BD","future",0,70.42
"BD","future",1,68.72
"BD","future",2,70.22
"BD","future",3,62.11
"BD","future",4,73.68
"BD","future",5,71.88
"BD","future",6,75.9
"BD","pressures",1,
"BD","pressures",2,
"BD","pressures",3,
"BD","pressures",4,
"BD","pressures",5,
"BD","pressures",6,
"BD","resilience",1,
"BD","resilience",2,
"BD","resilience",3,
"BD","resilience",4,
"BD","resilience",5,
"BD","resilience",6,
"BD","score",0,69.84
"BD","score",1,68.32
"BD","score",2,69.7
"BD","score",3,61.91
"BD","score",4,72.93
"BD","score",5,71.17
"BD","score",6,75.01
"BD","status",0,69.26
"BD","status",1,67.92
"BD","status",2,69.17
"BD","status",3,61.71
"BD","status",4,72.18
"BD","status",5,70.46
"BD","status",6,74.12
"BD","trend",1,-0.09
"BD","trend",2,-0.09
"BD","trend",3,-0.09
"BD","trend",4,-0.09
"BD","trend",5,-0.09
"BD","trend",6,-0.09
"CP","future",0,81.67
"CP","future",1,77.24
"CP","future",2,82.16
"CP","future",3,48.08
"CP","future",4,94.85
"CP","future",5,87.67
"CP","future",6,100
"CP","pressures",1,19.29
"CP","pressures",2,19.43
"CP","pressures",3,20.11
"CP","pressures",4,19.58
"CP","pressures",5,20.11
"CP","pressures",6,21.01
"CP","resilience",1,61.43
"CP","resilience",2,61.9
"CP","resilience",3,60.51
"CP","resilience",4,60.56
"CP","resilience",5,60.66
"CP","resilience",6,60.49
"CP","score",0,77.23
"CP","score",1,72.35
"CP","score",2,77.27
"CP","score",3,45.39
"CP","score",4,89.64
"CP","score",5,82.64
"CP","score",6,96.1
"CP","status",0,72.8
"CP","status",1,67.45
"CP","status",2,72.39
"CP","status",3,42.71
"CP","status",4,84.42
"CP","status",5,77.62
"CP","status",6,92.2
"CP","trend",1,0.01
"CP","trend",2,-0.01
"CP","trend",3,-0.01
"CP","trend",4,-0.02
"CP","trend",5,-0.01
"CP","trend",6,-0.01
"CW","future",0,99.92
"CW","future",1,99.53
"CW","future",2,100
"CW","future",3,100
"CW","future",4,100
"CW","future",5,100
"CW","future",6,100
"CW","pressures",1,36.06
"CW","pressures",2,36.88
"CW","pressures",3,19.79
"CW","pressures",4,25.28
"CW","pressures",5,24.87
"CW","pressures",6,24.17
"CW","resilience",1,80.94
"CW","resilience",2,80.94
"CW","resilience",3,80.94
"CW","resilience",4,80.94
"CW","resilience",5,80.94
"CW","resilience",6,80.94
"CW","score",0,97.13
"CW","score",1,94.87
"CW","score",2,94.67
"CW","score",3,99.23
"CW","score",4,98.41
"CW","score",5,97.32
"CW","score",6,98.31
"CW","status",0,94.35
"CW","status",1,90.22
"CW","status",2,89.34
"CW","status",3,98.45
"CW","status",4,96.82
"CW","status",5,94.64
"CW","status",6,96.61
"CW","trend",1,-0.07
"CW","trend",2,-0.01
"CW","trend",3,0.09
"CW","trend",4,0.03
"CW","trend",5,0
"CW","trend",6,0.04
"ECO","future",0,100
"ECO","future",1,100
"ECO","future",2,100
"ECO","future",3,100
"ECO","future",4,100
"ECO","future",5,100
"ECO","future",6,100
"ECO","pressures",1,29.03
"ECO","pressures",2,29.23
"ECO","pressures",3,22.38
"ECO","pressures",4,26.17
"ECO","pressures",5,26.18
"ECO","pressures",6,25.83
"ECO","resilience",1,64.44
"ECO","resilience",2,64.44
"ECO","resilience",3,64.44
"ECO","resilience",4,64.44
"ECO","resilience",5,64.44
"ECO","resilience",6,64.44
"ECO","score",0,100
"ECO","score",1,100
"ECO","score",2,100
"ECO","score",3,100
"ECO","score",4,100
"ECO","score",5,100
"ECO","score",6,100
"ECO","status",0,100
"ECO","status",1,100
"ECO","status",2,100
"ECO","status",3,100
"ECO","status",4,100
"ECO","status",5,100
"ECO","status",6,100
"ECO","trend",1,1
"ECO","trend",2,1
"ECO","trend",3,1
