"targets","layer","name","description","citation_nature2012","citation_plos2013","fld_value","units","filename","fld_id_num","fld_id_chr","fld_category","fld_year","fld_val_num","fld_val_chr","file_exists","val_min","val_max","val_0to1","flds_unused","flds_missing","rows_duplicated","num_ids_unique"
"HAB CS CP","hab_extent","Habitat extent","Modeled combined habitat extent","6J",,"km2","km^2","hab_extent_global2013.csv","rgn_id",,"habitat",,"km2",,TRUE,0,3892.95,FALSE,,,,4
"HAB CS CP","hab_health","Habitat health","Modeled combined habitat health condition trend","6J",,"health","value","hab_health_global2013.csv","rgn_id",,"habitat",,"health",,TRUE,0.82451230316197,0.967429403985,TRUE,,,,4
"HAB CS CP","hab_trend","Habitat health trend","Modeled combined habitat health trend","6J",,"trend","trend score","hab_trend_global2013.csv","rgn_id",,"habitat",,"trend",,TRUE,-0.0136358488546518,1,FALSE,,,,4
"ICO","ico_spp_extinction_status","IUCN extinction risk category for iconic species","International Union for Conservation of Nature (IUCN) Red List threat categories with aggregated species lists ","7.27","5.29","category","category","ico_spp_extinction_status_global2013.csv","rgn_id",,"sciname",,,"category",TRUE,,,,,,,4
"ICO","ico_spp_popn_trend","IUCN population trend as a proxy for iconic species trend","International Union for Conservation of Nature (IUCN) Red List threat categories with aggregated species lists ","7.27","5.29","popn_trend","trend score","ico_spp_popn_trend_global2013.csv","rgn_id",,"sciname",,,"popn_trend",TRUE,,,,,,,4
"LE","le_gdp_pc_ppp","Modeled Livelihoods & Economies data","gross domestic product per person at purchasing power parity","6F",,"usd","USD","le_gdp_pc_ppp_global2013.csv",,"cntry_key",,"year","usd",,TRUE,7469.523844,28809.33852,FALSE,,,,4
"LE","le_jobs_cur_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value","le_jobs_cur_adj_value_global2013.csv",,"cntry_key","sector",,"value",,TRUE,87.8611835987,87.8611835987,FALSE,,,,4
"LE","le_jobs_cur_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value","le_jobs_cur_base_value_global2013.csv",,"cntry_key","sector",,"value",,TRUE,84697.0647815,84697.0647815,FALSE,,,,4
"LE","le_jobs_ref_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value","le_jobs_ref_adj_value_global2013.csv",,"cntry_key","sector",,"value",,TRUE,91.00650758,91.00650758,FALSE,,,,4
"LE","le_jobs_ref_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value","le_jobs_ref_base_value_global2013.csv",,"cntry_key","sector",,"value",,TRUE,78796.6519793,78796.6519793,FALSE,,,,4
"LE","le_rev_cur_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value","le_rev_cur_adj_value_global2013.csv",,"cntry_key","sector",,"value",,TRUE,1.67112e+11,1.94866e+11,FALSE,,,,4
"LE","le_rev_cur_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value","le_rev_cur_base_value_global2013.csv",,"cntry_key","sector",,"value",,TRUE,0,1.836e+10,FALSE,,,,4
"LE","le_rev_ref_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value","le_rev_ref_adj_value_global2013.csv",,"cntry_key","sector",,"value",,TRUE,1.12974e+11,1.67112e+11,FALSE,,,,4
"LE","le_rev_ref_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value","le_rev_ref_base_value_global2013.csv",,"cntry_key","sector",,"value",,TRUE,0,5746620163.26,FALSE,,,,4
"LE","le_revenue_adj","Modeled Livelihoods & Economies data","adjusted revenue","6F",,"usd","USD","le_revenue_adj_global2013.csv",,"cntry_key",,"year","usd",,TRUE,1.12974e+11,2.42929e+11,FALSE,,,,4
"LE","le_wage_cur_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value","le_wage_cur_adj_value_global2013.csv","cntry_key",,"sector",,"value",,TRUE,Inf,-Inf,TRUE,,,,4
"LE","le_wage_cur_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value","le_wage_cur_base_value_global2013.csv","cntry_key",,"sector",,"value",,TRUE,Inf,-Inf,TRUE,,,,4
"LE","le_wage_ref_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value","le_wage_ref_adj_value_global2013.csv","cntry_key",,"sector",,"value",,TRUE,Inf,-Inf,TRUE,,,,4
"LE","le_wage_ref_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value","le_wage_ref_base_value_global2013.csv","cntry_key",,"sector",,"value",,TRUE,Inf,-Inf,TRUE,,,,4
"LE","le_workforcesize_adj","Modeled Livelihoods & Economies data","adjusted workforce size","6F",,"jobs","jobs","le_workforcesize_adj_global2013.csv",,"cntry_key",,"year","jobs",,TRUE,1344540.627,3149932.053,FALSE,,,,4
"LE pressures","le_sector_weight","Jobs weighting","Jobs weighting by sector (defaulting to 1)","6F",,"weight","value","le_sector_weight_global2013.csv","rgn_id",,"sector",,"weight",,TRUE,1,1,TRUE,,,,4
"LIV ECO","le_popn","Total population by subregion","Population data from The World Bank",,"5.71","count","count","le_popn_global2013.csv","rgn_id",,,"year","count",,TRUE,2114020,7907900,FALSE,,,,4
"LIV ECO","liveco_status","Modeled livelihoods and economies status","Modeled livelihoods and economies status based on new approach",,"5.41-5.46","value","status score","liveco_status_global2013.csv","rgn_id",,"component",,"value",,TRUE,1,1,TRUE,,,,4
"LIV ECO","liveco_trend","Modeled livelihoods and economies trend","Modeled livelihoods and economies trend based on new approach",,"5.41-5.46","value","trend score","liveco_trend_global2013.csv","rgn_id",,"component",,"value",,TRUE,0.281808592361083,0.983710097182486,TRUE,,,,4
"LSP","lsp_prot_area_inland1km","Coastal protected areas inland 1km","Coastal protected areas inland to 1km","6H","5.4","area_km2","km^2","lsp_prot_area_inland1km_global2013.csv","rgn_id",,,"year","area_km2",,TRUE,0.87325077158,6.98600617264,FALSE,,,,4
"LSP","lsp_prot_area_offshore3nm","Coastal marine protected areas offshore 3km","Coastal marine protected areas offshore to 3nm","6H","5.4","area_km2","km^2","lsp_prot_area_offshore3nm_global2013.csv","rgn_id",,,"year","area_km2",,TRUE,0.873250772,10.47900926,FALSE,,,,4
"MAR","mar_coastalpopn_inland25mi","Coastal population inland 25 miles","Coastal population inland 25 miles by year (2005-2015)",,,"popsum","people","mar_coastalpopn_inland25mi_global2013.csv","rgn_id",,,"year","popsum",,TRUE,6823610,8256860,FALSE,,,,4
"MAR","mar_harvest_species","Mariculture species harvested",,,,"species","species name","mar_harvest_species_global2013.csv",,,"species_code",,,"species",TRUE,,,,,,,4
"MAR","mar_harvest_tonnes","Mariculture harvest","Mariculture harvest by species and year",,,"tonnes","tons","mar_harvest_tonnes_global2013.csv","rgn_id",,"species_code","year","tonnes",,TRUE,0,3185,FALSE,,,,4
"MAR","mar_sustainability_score","Mariculture sustainability score","Mariculture sustainability score by species",,,"sust_coeff","sustainability","mar_sustainability_score_global2013.csv","rgn_id",,"species",,"sust_coeff",,TRUE,0.286111111,0.888095238,TRUE,,,,4
"MAR","mar_trend_years","Mariculter years used for trend",,,,"trend_yrs","year string","mar_trend_years_global2013.csv","rgn_id",,,,,"trend_yrs",TRUE,,,,,,,4
"NP","np_harvest_relative","Harvest of marine resources","Yield and value of six marine resources (coral, fish oil, seaweed and plants, shells, sponges, ornamental fish)","6C","5.51-5.53","score","value","np_harvest_relative_global2013.csv","rgn_id",,"product","year","score",,TRUE,0,1,TRUE,,,,4
"NP","np_sustainability_score","Sustainability of marine resource harvest","Assigned sustainability based on Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES) listed species","6C","5.51-5.53","score","value","np_sustainability_score_global2013.csv","rgn_id",,"product",,"score",,TRUE,0,0.978089939,TRUE,,,,4
"NP pressures","np_weights_combo","Harvest of marine resources: weights","Weighting of marine resource harvest","6C","5.51-5.53","weight","tons","np_weights_combo_global2013.csv","rgn_id",,"product",,"weight",,TRUE,0.013134634,0.862933493,TRUE,,,,4
"pressures","cc_acid","Ocean acidification","Modeled distribution of the aragonite saturation state (AAS) of the ocean in pre-industrial (~1870) and modern times (2000-2009) from Halpern et al. 2008","7.52","5.56","pressure_score","pressure score","cc_acid_global2013.csv","rgn_id",,,,"pressure_score",,TRUE,0.90946,0.90946,TRUE,,,,4
"pressures","cc_slr","Sea level rise","Modeled sea level rise after Halpern et al. 2008",,"5.63","pressure_score","pressure score","cc_slr_global2013.csv","rgn_id",,,,"pressure_score",,TRUE,0.24167088338757,0.24167088338757,TRUE,,,,4
"pressures","cc_sst","Sea surface temperature (SST) anomalies","Modeled sea level rise after Halpern et al. 2008","7.58","5.64","pressure_score","pressure score","cc_sst_global2013.csv","rgn_id",,,,"pressure_score",,TRUE,0.273614289863491,0.273614289863491,TRUE,,,,4
"pressures","cc_uv","UV radiation","Modeled UV radiation after Halpern et al. 2008","7.69","5.76","pressure_score","pressure score","cc_uv_global2013.csv","rgn_id",,,,"pressure_score",,TRUE,0.876792030393427,0.876792030393427,TRUE,,,,4
"pressures","fp_art_hb","High bycatch caused by artisanal fishing ","The presence of destructive artisanal blast and poison (cyanide) fishing","7.02","5.02","pressures.score","pressure score","fp_art_hb_global2013.csv","rgn_id",,,,"pressures.score",,TRUE,Inf,-Inf,TRUE,,,,4
"pressures","fp_art_lb","Low bycatch caused by artisanal fishing ","Statistics of low bycatch artisanal fishing using non-destructive practices","7.03","5.03","pressure_score","pressure score","fp_art_lb_global2013.csv","rgn_id",,,,"pressure_score",,TRUE,0.0350785763316116,0.0350785763316116,TRUE,,,,4
"pressures","fp_com_hb","High bycatch caused by commercial fishing ","Statistics of destructive commercial fishing practices by 5 different gear types (developed in Halpern et al. 2008)","7.11","5.11","pressure_score","pressure score","fp_com_hb_global2013.csv","rgn_id",,,,"pressure_score",,TRUE,0.0652946082483253,0.0652946082483253,TRUE,,,,4
"pressures","fp_com_lb","Low bycatch caused by commercial fishing ","Statistics of least destructive commercial fishing practices by 2 different gear types (developed in Halpern et al. 2008)","7.12","5.12","pressure_score","pressure score","fp_com_lb_global2013.csv","rgn_id",,,,"pressure_score",,TRUE,0.0477516397294218,0.0477516397294218,TRUE,,,,4
"pressures","fp_targetharvest","Targeted harvest of cetaceans and sea turtles","Targeted harvest of cetaceans and marine turtles, from Food and Agricultural Organization data","7.63","5.7","score","pressure score","fp_targetharvest_global2013.csv","rgn_id",,,,"score",,TRUE,Inf,-Inf,TRUE,,,,4
"pressures","hd_intertidal","Coastal population density as a proxy for intertidal habitat destruction","Coastal population density within 10 km of the coast","7.24","5.25","pressure_score","pressure score","hd_intertidal_global2013.csv","rgn_id",,,,"pressure_score",,TRUE,0.19084,0.19084,TRUE,,,,4
"pressures","hd_subtidal_hb","High bycatch artisanal fishing practices as a proxy for subtidal hard bottom habitat destruction","The presence of destructive artisanal blast and poison (cyanide) fishing","7.25","5.26","value","pressure score","hd_subtidal_hb_global2013.csv","rgn_id",,,,"value",,TRUE,Inf,-Inf,TRUE,,,,4
"pressures","hd_subtidal_sb","High bycatch commercial fishing practices as a proxy for subtidal soft bottom habitat destruction","Spatially distributed commercial catch data by fishing gear type, developed by Sea Around Us Project","7.26","5.27","pressures.score","pressure score","hd_subtidal_sb_global2013.csv","rgn_id",,,,"pressures.score",,TRUE,0.02603712,0.02603712,TRUE,,,,4
"pressures","po_chemicals_3nm","Land-based chemical pollution","Land-based organic pollution at 1km2 resolution (as developed in Halpern et al. 2008)","7.06-7.09","5.06-5.07","pressure_score","pressure score","po_chemicals_3nm_global2013.csv","rgn_id",,,,"pressure_score",,TRUE,0.514909237621593,0.514909237621593,TRUE,,,,4
"pressures","po_nutrients_3nm","Coastal nutrient pollution","Modeled coastal nutrient pollution based on Halpern et al. 2008","7.51","5.55","pressure_score","pressure score","po_nutrients_3nm_global2013.csv","rgn_id",,,,"pressure_score",,TRUE,0.341163,0.341163,TRUE,,,,4
"pressures","sp_alien","Alien species","The number and type of invasive and harmful invasive species in each marine ecoregion","7.01","5.01","pressures.score","pressure score","sp_alien_global2013.csv","rgn_id",,,,"pressures.score",,TRUE,0.009914125546969,0.009914125546969,TRUE,,,,4
"pressures","sp_genetic","Introduced species as a proxy for genetic escapes ","Statistics on native or introduced species from the Mariculture Sustainibility Index (MSI)","7.22","5.22","pressures.score","pressure score","sp_genetic_global2013.csv","rgn_id",,,,"pressures.score",,TRUE,0.677563278,0.677563278,TRUE,,,,4
"pressures","ss_wgi","Weakness of governance indicated with the WGI","Inverse of World Governance Indicators (WGI) six combined scores","7.7","5.77","score","pressure score","ss_wgi_global2013.csv","rgn_id",,,,"score",,TRUE,0.381188015963081,0.381188015963081,TRUE,,,,4
"pressures CP","cp_habitat_extent_rank","Habitat extent * rank, per Coastal Protection habitats","Habitat extent * habitat rank for Coastal Protection habitats: coral, mangrove offshore 1km, mangrove inland 1km, saltmarsh, seaice_shoreline and seagrass","6E",,"extent_rank","rank","cp_habitat_extent_rank_global2013.csv","rgn_id",,"habitat",,"extent_rank",,TRUE,3.493004,16.5918,FALSE,,,,4
"pressures CS","cs_habitat_extent","Habitat extent * rank, per Carbon Storage habitats","Habitat extent * habitat rank for Carbon Storage habitats: mangrove, saltmarsh and seagrass","6D",,"km2","km^2","cs_habitat_extent_global2013.csv","rgn_id",,"habitat",,"km2",,TRUE,16.5918,16.5918,FALSE,,,,4
"pressures CW","po_chemicals","Ocean-based chemical pollution","Ocean-based chemical pollution from commercial shipping traffic and ports and harbors","7.06-7.08","5.08","pressure_score","pressure score","po_chemicals_global2013.csv","rgn_id",,,,"pressure_score",,TRUE,0.131986066476923,0.131986066476923,TRUE,,,,4
"pressures CW","po_nutrients","Ocean nutrient pollution","Modeled ocean nutrient pollution based on Halpern et al. 2008","7.51","5.55","pressure_score","pressure score","po_nutrients_global2013.csv","rgn_id",,,,"pressure_score",,TRUE,0.0396879,0.0396879,TRUE,,,,4
"pressures CW","po_pathogens","Access to improved sanitation as a proxy for pathogen pollution","Percent of population with access to improved sanitation facilities ","7.53","5.57","pressure_score","pressure score","po_pathogens_global2013.csv","rgn_id",,,,"pressure_score",,TRUE,0,0,TRUE,,,,4
"pressures CW","po_trash","Trash pollution","Density of trash from coastal land and sea","7.67","5.73","pressure_score","pressure score","po_trash_global2013.csv","rgn_id",,,,"pressure_score",,TRUE,0.694991339780944,0.694991339780944,TRUE,,,,4
"pressures HAB","hab_presence","Habitat presence","Modeled combined habitat presence","6J",,"boolean","boolean","hab_presence_global2013.csv","rgn_id",,"habitat",,"boolean",,TRUE,1,1,TRUE,,,,4
"resilience","alien_species","Alien species","The number and type of invasive and harmful invasive species in each marine ecoregion","7.01","5.01","resilience score","resilience score","alien_species_global2013.csv","rgn_id",,,,"resilience.score",,TRUE,0.875,0.875,TRUE,,,,4
"resilience","cites","Resilience from commitment to CITES","Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES) signatories","7.16","5.15","resilience score","resilience score","cites_global2013.csv","rgn_id",,,,"resilience.score",,TRUE,1,1,TRUE,,,,4
"resilience","fishing_v1","CBD survey: coastal fishing v1","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","7.14","5.14","resilience score","resilience score","fishing_v1_global2013.csv","rgn_id",,,,"resilience.score",,TRUE,0.481490112897341,0.481490112897341,TRUE,,,,4
"resilience","fishing_v1_eez","CBD survey: ocean fishing v1","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","7.14","5.14","resilience score","resilience score","fishing_v1_eez_global2013.csv","rgn_id",,,,"resilience.score",,TRUE,0.467488812484008,0.467488812484008,TRUE,,,,4
"resilience","fishing_v2_eez","CBD survey: ocean fishing v2","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","7.14","5.14","resilience score","resilience score","fishing_v2_eez_global2013.csv","rgn_id",,,,"resilience.score",,TRUE,0.508616609363006,0.508616609363006,TRUE,,,,4
"resilience","fishing_v3","CBD survey: coastal fishing v3","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","7.14","5.14","resilience score","resilience score","fishing_v3_global2013.csv","rgn_id",,,,"resilience.score",,TRUE,0.482881253135758,0.482881253135758,TRUE,,,,4
"resilience","fishing_v3_eez","CBD survey: ocean fishing v3","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","7.14","5.14","resilience score","resilience score","fishing_v3_eez_global2013.csv","rgn_id",,,,"resilience.score",,TRUE,0.468879952722424,0.468879952722424,TRUE,,,,4
"resilience","habitat","CBD survey: habitat","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","7.14","5.14","resilience score","resilience score","habitat_global2013.csv","rgn_id",,,,"resilience.score",,TRUE,0.772727272727273,0.772727272727273,TRUE,,,,4
"resilience","habitat_combo","CBD survey: coastal habitat","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","7.14","5.14","resilience score","resilience score","habitat_combo_global2013.csv","rgn_id",,,,"resilience.score",,TRUE,0.40832188,0.40832188,TRUE,,,,4
"resilience","habitat_combo_eez","CBD survey: ocean habitat","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","7.14","5.14","resilience score","resilience score","habitat_combo_eez_global2013.csv","rgn_id",,,,"resilience.score",,TRUE,0.387319929083636,0.387319929083636,TRUE,,,,4
"resilience","li_gci","GCI: competitiveness in achieving sustained economic prosperity","Global Competitiveness Index (GCI) scores (score)","7.23","5.23","score","resilience score","li_gci_global2013.csv","rgn_id",,,"year","score",,TRUE,0.67,0.67,TRUE,,,,4
"resilience","li_sector_evenness","Sector evenness as a measure of economic diversity","Shannon's Diversity Index calculated sector evenness based on the total number of sectors and the proportion of jobs belonging to any sector","7.6","5.66","resilience score","resilience score","li_sector_evenness_global2013.csv","rgn_id",,,,"resilience.score",,TRUE,0,0,TRUE,,,,4
"resilience","mariculture","CBD survey: mariculture","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","7.14","5.14","resilience score","resilience score","mariculture_global2013.csv","rgn_id",,,,"resilience.score",,TRUE,0.916666666666667,0.916666666666667,TRUE,,,,4
"resilience","msi_gov"," MSI sustainability and regulations","Mariculture practice assessment criteria from the Mariculture Sustainability Index (MSI)","7.3","5.33","resilience score","resilience score","msi_gov_global2013.csv","rgn_id",,,,"resilience.score",,TRUE,Inf,-Inf,TRUE,,,,4
"resilience","species_diversity","Ocean ecological integrity","Marine species diversity as a proxy for ecological integrity: ocean","7.18","5.18","score","resilience score","species_diversity_global2013.csv","rgn_id",,,,"score",,TRUE,0.878875988672286,0.878875988672286,TRUE,,,,4
"resilience","species_diversity_3nm","Coastal ecological integrity","Marine species diversity as a proxy for ecological integrity: coastal","7.18","5.18","score","resilience score","species_diversity_3nm_global2013.csv","rgn_id",,,,"score",,TRUE,0.887338658098306,0.887338658098306,TRUE,,,,4
"resilience","tourism","CBD survey: tourism","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","7.14","5.14","resilience score","resilience score","tourism_global2013.csv","rgn_id",,,,"resilience.score",,TRUE,0.777777777777833,0.777777777777833,TRUE,,,,4
"resilience","water","CBD survey: water","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","7.14","5.14","resilience score","resilience score","water_global2013.csv","rgn_id",,,,"resilience.score",,TRUE,1,1,TRUE,,,,4
"resilience","wgi_all","Strength of governance indicated with the WGI","World Governance Indicators (WGI) six combined scores","7.7","5.77","score","resilience score","wgi_all_global2013.csv","rgn_id",,,,"score",,TRUE,0.618811984036919,0.618811984036919,TRUE,,,,4
"spatial","cntry_georegions","Georegion ids per country, at 3 georegion levels","georegions per country, at 3 georegion levels","3",,"georgn_id","georegion id","cntry_georegions_global2013.csv",,"cntry_key","level",,"georgn_id",,TRUE,1,145,FALSE,,,,4
"spatial","cntry_rgn","Regions per country","regions per country","3",,"rgn_id","region id","cntry_rgn_global2013.csv","rgn_id",,"cntry_key",,"rgn_id",,TRUE,1,4,FALSE,,,,4
"spatial","rgn_area","Region area of total EEZ ocean","region in water area","3",,"area_km2","km^2","rgn_area_global2013.csv","rgn_id",,,,"area_km2",,TRUE,27775.0732902,27775.0732902,FALSE,,,,4
"spatial","rgn_area_inland1km","Region area 1 km inland","inland area 1 km from shore","3",,"area_km2","km^2","rgn_area_inland1km_global2013.csv","rgn_id",,,,"area_km2",,TRUE,211.326686722396,211.326686722396,FALSE,,,,4
"spatial","rgn_area_offshore3nm","Region area offshore 3nm","offshore area 3 nautical miles from shore","3",,"area_km2","km^2","rgn_area_offshore3nm_global2013.csv","rgn_id",,,,"area_km2",,TRUE,1212.94532172483,1212.94532172483,FALSE,,,,4
"spatial","rgn_georegion_labels","Georegion labels per region, at 3 georegion levels","georegions per region, at 3 georegion levels","3",,"label","label","rgn_georegion_labels_global2013.csv","rgn_id",,"level",,,"label",TRUE,,,,,,,4
"spatial","rgn_georegions","Georegion ids per region, at 3 georegion levels","georegions per region, at 3 georegion levels","3",,"georgn_id","georegion id","rgn_georegions_global2013.csv","rgn_id",,"level",,"georgn_id",,TRUE,1,145,FALSE,,,,4
"spatial","rgn_global","regions used in global analysis for Nature 2012, subset of regions_labels by type=eez and not deleted or disputed ","regions used in global analysis for Nature 2012, subset of regions_labels by type=eez and not deleted or disputed ","3",,"label","label","rgn_global_global2013.csv","rgn_id",,,,,"label",TRUE,,,,,,,4
"spatial","rgn_labels","regions by type (eez, subocean, unclaimed) and label","regions by type (eez, subocean, unclaimed) and label","3",,"label","label","rgn_labels_israel2014.csv","rgn_id",,"type",,,"label",TRUE,,,,,,,4
"SPP","spp_status","Species lists and IUCN threat categories as a proxy for iconic species status","International Union for Conservation of Nature (IUCN) Red List threat categories with aggregated species lists ","7.27","5.29","score","status score","spp_status_global2013.csv","rgn_id",,,,"score",,TRUE,0.878875988672286,0.878875988672286,TRUE,,,,4
"SPP","spp_trend","Species lists and IUCN threat categories as a proxy for iconic species trend","International Union for Conservation of Nature (IUCN) Red List threat categories with aggregated species lists ","7.27","5.29","score","trend score","spp_trend_global2013.csv","rgn_id",,,,"score",,TRUE,-0.14256377017058,-0.14256377017058,FALSE,,,,4
"TR","tr_jobs_total","Total labor force",,,,"count","jobs","tr_jobs_total_global2013.csv","rgn_id",,,"year","count",,TRUE,1659344.032,3238498.23,FALSE,,,,4
"TR","tr_jobs_tourism","Direct employment in tourism",,,,"count","jobs","tr_jobs_tourism_global2013.csv","rgn_id",,,"year","count",,TRUE,40000,81500,FALSE,,,,4
"TR","tr_sustainability","Sustainability index","Tourism Competitiveness Index (TTCI) from the World Economic Forum",,,"score","score","tr_sustainability_global2013.csv","rgn_id",,,,"score",,TRUE,4.34,4.34,FALSE,,,,4
"TR","tr_unemployment","Percent unemployment",,,,"percent","percent unemployed","tr_unemployment_global2013.csv","rgn_id",,,"year","percent",,TRUE,4.5,11.19999981,FALSE,,,,4
