"targets","layer","name","description","citation_nature2012","citation_plos2013","fld_value","units","filename","fld_id_num","fld_id_chr","fld_category","fld_year","fld_val_num","fld_val_chr","file_exists","val_min","val_max","val_0to1","flds_unused","flds_missing","rows_duplicated","num_ids_unique"
"AO","ao_access","Fisheries management effectiveness and opportunity","The opportunity for artisanal and recreational fishing based on the quality of management of the small- scale fishing sector (Mora et al 2009)","7.04","5.04","value","value","ao_access_global2013.csv","rgn_id",,,,"value",,TRUE,0.632,0.632,TRUE,,,,4
"AO","ao_need","Purchasing power parity as a proxy for subsistence fishing need, by region","The per capita purchasing power parity (PPP) adjusted gross domestic product (GDP): GDPpcPPP","7.05","5.05","value","value","ao_need_global2013.csv","rgn_id",,,"year","value",,TRUE,0.78454696,0.903281179,TRUE,,,,4
"CW","cw_coastalpopn_trend","Coastal human population as a proxy for trend in trash","Coastal population, defined as the total population inland of 25 miles ","6I","5.09","trend","trend score","cw_coastalpopn_trend_global2013.csv","rgn_id",,,,"trend",,TRUE,0.098175936123348,0.098175936123348,TRUE,,,,4
"CW","cw_fertilizer_trend","Fertilizer consumption as a proxy for trend in nutrient pollution","Statistics on fertilizer consumption from the Food and Agricultural Organization (FAO) ","7.19","5.19","trend.score","trend score","cw_fertilizer_trend_global2013.csv","rgn_id",,,,"trend.score",,TRUE,0.698276712599072,0.698276712599072,TRUE,,,,4
"CW","cw_pathogen_trend","Trends in access to improved sanitation as a proxy for pathogen pollution trend","Trends in percent of population with access to improved sanitation facilities ","7.53","5.57","trend","trend score","cw_pathogen_trend_global2013.csv","rgn_id",,,,"trend",,TRUE,0,0,TRUE,,,,4
"CW","cw_pesticide_trend","Pesticide consumption as a proxy for trend in chemical pollution","Statistics on pesticides consumption from the Food and Agricultural Organization (FAO) ","6I","5.58","trend.score","trend score","cw_pesticide_trend_global2013.csv","rgn_id",,,,"trend.score",,TRUE,0.0842377994981651,0.0842377994981651,TRUE,,,,4
"FIS","fis_b_bmsy","B/Bmsy estimates obtained using the catch-MSY method",,"6A","6A","b_bmsy","B / B_msy","fis_b_bmsy_global2013.csv","fao_id",,"taxon_name","year","b_bmsy",,TRUE,0.0461287907976367,1.98830565893193,FALSE,,,,4
"FIS","fis_meancatch","Catch data for each Taxon/FAO/SAUP region averaged across years (1980-2011)","Reported data includes years 2006-2011","6A","6A","mean_catch","metric tons","fis_meancatch_global2013.csv",,"fao_saup_id","taxon_name_key","year","mean_catch",,TRUE,1.36907349309404e-05,4795395.86,FALSE,,,,4
"FIS","fis_proparea_saup2rgn","area of each saup/total OHI reporting region","For converting saup regions to OHI reporting regions","6A","6A","prop_area","proportion of area","fis_proparea_saup2rgn_global2013.csv","rgn_id",,"saup_id",,"prop_area",,TRUE,1,1,TRUE,,,,4
"FP","fp_wildcaught_weight","Fisheries weighting factor","Proportional yield of wild caught fisheries","6A","5.2","w_fis","value","fp_wildcaught_weight_global2013.csv","rgn_id",,,,"w_fis",,TRUE,0.778133576,0.778133576,TRUE,,,,4
