"cntry_key","year","jobs"
"ISR",1980,1344540.627
"ISR",1981,1377774.806
"ISR",1982,1395194.345
"ISR",1983,1412827.622
"ISR",1984,1443399.684
"ISR",1985,1461645.493
"ISR",1986,1508916.187
"ISR",1987,1535054.923
"ISR",1988,1596286.365
"ISR",1989,1649036.943
"ISR",1990,1690502.446
"ISR",1991,1813100.448
"ISR",1992,1899857.813
"ISR",1993,1989447.064
"ISR",1994,2076288.142
"ISR",1995,2142747.611
"ISR",1996,2208094.672
"ISR",1997,2266842.326
"ISR",1998,2342105.883
"ISR",1999,2424944.747
"ISR",2000,2512199.535
"ISR",2001,2575883.331
"ISR",2002,2622041.51
"ISR",2003,2686926.395
"ISR",2004,2756646.535
"ISR",2005,2817454.658
"ISR",2006,2889441.624
"ISR",2007,2989085.487
"ISR",2008,3149932.053
"ISR",2009,3070541.62
