"rgn_id","year","count"
1,1988,46100
4,1988,46100
5,1988,46100
2,1988,46100
3,1988,46100
6,1988,46100
1,1989,47300
4,1989,47300
5,1989,47300
2,1989,47300
3,1989,47300
6,1989,47300
1,1990,43400
4,1990,43400
5,1990,43400
2,1990,43400
3,1990,43400
6,1990,43400
1,1991,41200
4,1991,41200
5,1991,41200
2,1991,41200
3,1991,41200
6,1991,41200
1,1992,48300
4,1992,48300
5,1992,48300
2,1992,48300
3,1992,48300
6,1992,48300
1,1993,53200
4,1993,53200
5,1993,53200
2,1993,53200
3,1993,53200
6,1993,53200
1,1994,56500
4,1994,56500
5,1994,56500
2,1994,56500
3,1994,56500
6,1994,56500
1,1995,60100
4,1995,60100
5,1995,60100
2,1995,60100
3,1995,60100
6,1995,60100
1,1996,59800
4,1996,59800
5,1996,59800
2,1996,59800
3,1996,59800
6,1996,59800
1,1997,62300
4,1997,62300
5,1997,62300
2,1997,62300
3,1997,62300
6,1997,62300
1,1998,63300
4,1998,63300
5,1998,63300
2,1998,63300
3,1998,63300
6,1998,63300
1,1999,76400
4,1999,76400
5,1999,76400
2,1999,76400
3,1999,76400
6,1999,76400
1,2000,74600
4,2000,74600
5,2000,74600
2,2000,74600
3,2000,74600
6,2000,74600
1,2001,59200
4,2001,59200
5,2001,59200
2,2001,59200
3,2001,59200
6,2001,59200
1,2002,59000
4,2002,59000
5,2002,59000
2,2002,59000
3,2002,59000
6,2002,59000
1,2003,59300
4,2003,59300
5,2003,59300
2,2003,59300
3,2003,59300
6,2003,59300
1,2004,63800
4,2004,63800
5,2004,63800
2,2004,63800
3,2004,63800
6,2004,63800
1,2005,70600
4,2005,70600
5,2005,70600
2,2005,70600
3,2005,70600
6,2005,70600
1,2006,73600
4,2006,73600
5,2006,73600
2,2006,73600
3,2006,73600
6,2006,73600
1,2007,76200
4,2007,76200
5,2007,76200
2,2007,76200
3,2007,76200
6,2007,76200
1,2008,79400
4,2008,79400
5,2008,79400
2,2008,79400
3,2008,79400
6,2008,79400
1,2009,76900
4,2009,76900
5,2009,76900
2,2009,76900
3,2009,76900
6,2009,76900
1,2010,82000
4,2010,82000
5,2010,82000
2,2010,82000
3,2010,82000
6,2010,82000
1,2011,81400
4,2011,81400
5,2011,81400
2,2011,81400
3,2011,81400
6,2011,81400
1,2012,86100
4,2012,86100
5,2012,86100
2,2012,86100
3,2012,86100
6,2012,86100
1,2013,85200
4,2013,85200
5,2013,85200
2,2013,85200
3,2013,85200
6,2013,85200
