rgn_id,plant,score
1,ashqelon,0.899335664
1,hadera,0.855763486
1,palmachim,0.865206738
1,soreq,1
2,ashqelon,0.899335664
2,hadera,0.855763486
2,palmachim,0.865206738
2,soreq,1
3,ashqelon,0.899335664
3,hadera,0.855763486
3,palmachim,0.865206738
3,soreq,1
4,ashqelon,0.899335664
4,hadera,0.855763486
4,palmachim,0.865206738
4,soreq,1
5,ashqelon,0.899335664
5,hadera,0.855763486
5,palmachim,0.865206738
5,soreq,1
6,ashqelon,0.899335664
6,hadera,0.855763486
6,palmachim,0.865206738
6,soreq,1
