year,sciname,value
1950,Argyrosomus regius,68.464
1951,Argyrosomus regius,76.294
1952,Argyrosomus regius,92.701
1953,Argyrosomus regius,79.678
1954,Argyrosomus regius,138.224
1955,Argyrosomus regius,243.378
1956,Argyrosomus regius,70.039
1957,Argyrosomus regius,61.171
1958,Argyrosomus regius,108.583
1959,Argyrosomus regius,204.226
1960,Argyrosomus regius,96.569
1961,Argyrosomus regius,105.804
1962,Argyrosomus regius,125.2
1963,Argyrosomus regius,74.6
1964,Argyrosomus regius,77.8
1965,Argyrosomus regius,74.2
1966,Argyrosomus regius,43.9
1967,Argyrosomus regius,83.5
1968,Argyrosomus regius,46.7
1969,Argyrosomus regius,34
1970,Argyrosomus regius,29.6
1971,Argyrosomus regius,31.9
1972,Argyrosomus regius,37.5
1973,Argyrosomus regius,17.2
1974,Argyrosomus regius,12.5
1975,Argyrosomus regius,4.2
1976,Argyrosomus regius,0.8
1977,Argyrosomus regius,4
1978,Argyrosomus regius,8.6
1979,Argyrosomus regius,11
1980,Argyrosomus regius,10
1981,Argyrosomus regius,12
1982,Argyrosomus regius,25
1983,Argyrosomus regius,40
1984,Argyrosomus regius,30
1985,Argyrosomus regius,85
1986,Argyrosomus regius,60
1987,Argyrosomus regius,70
1988,Argyrosomus regius,70
1989,Argyrosomus regius,64.01
1990,Argyrosomus regius,66.44322
1991,Argyrosomus regius,52.97818
1992,Argyrosomus regius,27.385
1993,Argyrosomus regius,12.16
1994,Argyrosomus regius,9.3648
1995,Argyrosomus regius,13.7152
1996,Argyrosomus regius,12.432
1997,Argyrosomus regius,16
1998,Argyrosomus regius,2.3
1999,Argyrosomus regius,9
2000,Argyrosomus regius,0
2001,Argyrosomus regius,0
2002,Argyrosomus regius,0
2003,Argyrosomus regius,0
2004,Argyrosomus regius,0
2005,Argyrosomus regius,6.1
2006,Argyrosomus regius,2
2007,Argyrosomus regius,22
2008,Argyrosomus regius,7.28
2009,Argyrosomus regius,3.021
2010,Argyrosomus regius,2.1
1950,Boops boops,4.919
1951,Boops boops,13.721
1952,Boops boops,14.753
1953,Boops boops,4.862
1954,Boops boops,2.977
1955,Boops boops,16.855
1956,Boops boops,9.612
1957,Boops boops,22.271
1958,Boops boops,21.27
1959,Boops boops,14.227
1960,Boops boops,33.652
1961,Boops boops,14.13
1962,Boops boops,22.5
1963,Boops boops,10.2
1964,Boops boops,19.7
1965,Boops boops,13.2
1966,Boops boops,12.1
1967,Boops boops,12.2
1968,Boops boops,9.9
1969,Boops boops,7.5
1970,Boops boops,21.4
1971,Boops boops,42.2
1972,Boops boops,61.2
1973,Boops boops,69.5
1974,Boops boops,77.4
1975,Boops boops,119.9
1976,Boops boops,123.5
1977,Boops boops,81.4
1978,Boops boops,78.5
1979,Boops boops,110
1980,Boops boops,102.5
1981,Boops boops,148
1982,Boops boops,142
1983,Boops boops,110
1984,Boops boops,208
1985,Boops boops,240
1986,Boops boops,180
1987,Boops boops,180
1988,Boops boops,210
1989,Boops boops,194.698
1990,Boops boops,198.85327
1991,Boops boops,160.03113
1992,Boops boops,76.678
1993,Boops boops,25.84
1994,Boops boops,19.9002
1995,Boops boops,29.1448
1996,Boops boops,26.418
1997,Boops boops,33.8
1998,Boops boops,46.9
1999,Boops boops,73
2000,Boops boops,91
2001,Boops boops,37.4
2002,Boops boops,38.1
2003,Boops boops,67.8
2004,Boops boops,51
2005,Boops boops,119.5
2006,Boops boops,123.4
2007,Boops boops,112
2008,Boops boops,92.53
2009,Boops boops,85.259
2010,Boops boops,49.48137808
1950,Epinephelus spp,60.866
1951,Epinephelus spp,110.286
1952,Epinephelus spp,105.368
1953,Epinephelus spp,100.853
1954,Epinephelus spp,122.922
1955,Epinephelus spp,134.174
1956,Epinephelus spp,107.955
1957,Epinephelus spp,118.448
1958,Epinephelus spp,146.827
1959,Epinephelus spp,157.267
1960,Epinephelus spp,135.703
1961,Epinephelus spp,130.898
1962,Epinephelus spp,154.3
1963,Epinephelus spp,142.4
1964,Epinephelus spp,133.7
1965,Epinephelus spp,142.9
