fao_id,taxon_name,year,b_bmsy
1,Boops boops,1950,1.00143113
1,Boops boops,1951,1.235283914
1,Boops boops,1952,1.432374264
1,Boops boops,1953,1.567294998
1,Boops boops,1954,1.653586725
1,Boops boops,1955,1.713507358
1,Boops boops,1956,1.755859716
1,Boops boops,1957,1.785976998
1,Boops boops,1958,1.821754354
1,Boops boops,1959,1.831231445
1,Boops boops,1960,1.836764913
1,Boops boops,1961,1.839198716
1,Boops boops,1962,1.839168604
1,Boops boops,1963,1.837159721
1,Boops boops,1964,1.83354605
1,Boops boops,1965,1.828618208
1,Boops boops,1966,1.8226035
1,Boops boops,1967,1.81568063
1,Boops boops,1968,1.807990664
1,Boops boops,1969,1.799645287
1,Boops boops,1970,1.790733083
1,Boops boops,1971,1.781324351
1,Boops boops,1972,1.771474818
1,Boops boops,1973,1.761228524
1,Boops boops,1974,1.750620068
1,Boops boops,1975,1.739676369
1,Boops boops,1976,1.728418042
1,Boops boops,1977,1.716860487
1,Boops boops,1978,1.705014738
1,Boops boops,1979,1.692888131
1,Boops boops,1980,1.680484828
1,Boops boops,1981,1.667806217
1,Boops boops,1982,1.654851223
1,Boops boops,1983,1.641616532
1,Boops boops,1984,1.628096752
1,Boops boops,1985,1.614284517
1,Boops boops,1986,1.600170535
1,Boops boops,1987,1.585743593
1,Boops boops,1988,1.570990516
1,Boops boops,1989,1.555896082
1,Boops boops,1990,1.54044289
1,Boops boops,1991,1.524611177
1,Boops boops,1992,1.508378588
1,Boops boops,1993,1.491719869
1,Boops boops,1994,1.474606497
1,Boops boops,1995,1.457006214
1,Boops boops,1996,1.438882449
1,Boops boops,1997,1.420193605
1,Boops boops,1998,1.400892158
1,Boops boops,1999,1.380923538
1,Boops boops,2000,1.360224699
1,Boops boops,2001,1.338722292
1,Boops boops,2002,1.31633029
1,Boops boops,2003,1.292946874
1,Boops boops,2004,1.26845028
1,Boops boops,2005,1.242693179
1,Boops boops,2006,1.215495005
1,Boops boops,2007,1.186631408
1,Boops boops,2008,1.155820096
1,Boops boops,2009,1.122704006
1,Boops boops,2010,1.086844144
1,Argyrosomus regius,1950,1.090883934
1,Argyrosomus regius,1951,1.079393609
1,Argyrosomus regius,1952,1.061829205
1,Argyrosomus regius,1953,1.031363891
1,Argyrosomus regius,1954,1.011451673
1,Argyrosomus regius,1955,0.944961409
1,Argyrosomus regius,1956,0.794529106
1,Argyrosomus regius,1957,0.780404148
1,Argyrosomus regius,1958,0.728009082
1,Argyrosomus regius,1959,0.605640949
1,Argyrosomus regius,1960,0.56536299
1,Argyrosomus regius,1961,0.51624077
1,Argyrosomus regius,1962,0.449637998
1,Argyrosomus regius,1963,0.420231243
1,Argyrosomus regius,1964,0.386791161
1,Argyrosomus regius,1965,0.354427355
1,Argyrosomus regius,1966,0.344344984
1,Argyrosomus regius,1967,0.302195018
1,Argyrosomus regius,1968,0.286732495
1,Argyrosomus regius,1969,0.280365521
1,Argyrosomus regius,1970,0.27707324
1,Argyrosomus regius,1971,0.271747686
1,Argyrosomus regius,1972,0.261672239
1,Argyrosomus regius,1973,0.266934082
1,Argyrosomus regius,1974,0.276232343
1,Argyrosomus regius,1975,0.292687651
1,Argyrosomus regius,1976,0.312929968
1,Argyrosomus regius,1977,0.33196254
1,Argyrosomus regius,1978,0.34855876
1,Argyrosomus regius,1979,0.36428866
1,Argyrosomus regius,1980,0.381789166
1,Argyrosomus regius,1981,0.398757729
1,Argyrosomus regius,1982,0.406371078
1,Argyrosomus regius,1983,0.402496801
1,Argyrosomus regius,1984,0.406441526
1,Argyrosomus regius,1985,0.366787528
1,Argyrosomus regius,1986,0.34489734
1,Argyrosomus regius,1987,0.313786134
1,Argyrosomus regius,1988,0.280814587
1,Argyrosomus regius,1989,0.250563139
1,Argyrosomus regius,1990,0.216480963
1,Argyrosomus regius,1991,0.191058217
1,Argyrosomus regius,1992,0.184303801
1,Argyrosomus regius,1993,0.188954436
1,Argyrosomus regius,1994,0.196131617
1,Argyrosomus regius,1995,0.200756984
1,Argyrosomus regius,1996,0.206946433
1,Argyrosomus regius,1997,0.211823984
1,Argyrosomus regius,1998,0.226043839
1,Argyrosomus regius,1999,0.237499185
1,Argyrosomus regius,2000,0.254813441
1,Argyrosomus regius,2001,0.273282306
1,Argyrosomus regius,2002,0.292953038
1,Argyrosomus regius,2003,0.313868669
1,Argyrosomus regius,2004,0.336066607
1,Argyrosomus regius,2005,0.356146751
1,Argyrosomus regius,2006,0.379695
1,Argyrosomus regius,2007,0.395676181
1,Argyrosomus regius,2008,0.42039862
1,Argyrosomus regius,2009,0.447774036
1,Argyrosomus regius,2010,0.476683855
1,Euthynnus alletteratus,1980,1.00250983
1,Euthynnus alletteratus,1981,0.928290273
1,Euthynnus alletteratus,1982,0.928383032
1,Euthynnus alletteratus,1983,0.924124678
1,Euthynnus alletteratus,1984,0.948342654
1,Euthynnus alletteratus,1985,0.99203923
1,Euthynnus alletteratus,1986,0.815072659
1,Euthynnus alletteratus,1987,0.693913024
1,Euthynnus alletteratus,1988,0.579514923
1,Euthynnus alletteratus,1989,0.555534917
1,Euthynnus alletteratus,1990,0.513613967
1,Euthynnus alletteratus,1991,0.497591981
1,Euthynnus alletteratus,1992,0.502429539
1,Euthynnus alletteratus,1993,0.503805924
1,Euthynnus alletteratus,1994,0.522327573
1,Euthynnus alletteratus,1995,0.51664645
1,Euthynnus alletteratus,1996,0.518258694
1,Euthynnus alletteratus,1997,0.498207809
1,Euthynnus alletteratus,1998,0.504323538
1,Euthynnus alletteratus,1999,0.495626057
1,Euthynnus alletteratus,2000,0.464481088
1,Euthynnus alletteratus,2001,0.470232192
1,Euthynnus alletteratus,2002,0.504760224
1,Euthynnus alletteratus,2003,0.509293071
1,Euthynnus alletteratus,2004,0.514632584
1,Euthynnus alletteratus,2005,0.508833113
1,Euthynnus alletteratus,2006,0.480889286
1,Euthynnus alletteratus,2007,0.433009232
1,Euthynnus alletteratus,2008,0.41715512
1,Euthynnus alletteratus,2009,0.419145666
1,Euthynnus alletteratus,2010,0.455405375
1,Merluccius merluccius,1950,1.078496645
1,Merluccius merluccius,1951,1.015538414
1,Merluccius merluccius,1952,1.020230812
1,Merluccius merluccius,1953,1.030975707
1,Merluccius merluccius,1954,0.971450012
1,Merluccius merluccius,1955,0.926309158
1,Merluccius merluccius,1956,0.818497816
1,Merluccius merluccius,1957,0.84608637
1,Merluccius merluccius,1958,0.730729792
1,Merluccius merluccius,1959,0.647145683
1,Merluccius merluccius,1960,0.647035396
1,Merluccius merluccius,1961,0.672687872
1,Merluccius merluccius,1962,0.689123802
1,Merluccius merluccius,1963,0.639703714
1,Merluccius merluccius,1964,0.616794539
1,Merluccius merluccius,1965,0.593777005
1,Merluccius merluccius,1966,0.620098757
1,Merluccius merluccius,1967,0.660253905
1,Merluccius merluccius,1968,0.592026393
1,Merluccius merluccius,1969,0.548092474
1,Merluccius merluccius,1970,0.512595311
1,Merluccius merluccius,1971,0.514134317
1,Merluccius merluccius,1972,0.509847452
1,Merluccius merluccius,1973,0.457842503
1,Merluccius merluccius,1974,0.440424368
1,Merluccius merluccius,1975,0.428617726
1,Merluccius merluccius,1976,0.418446686
1,Merluccius merluccius,1977,0.416411913
1,Merluccius merluccius,1978,0.407472832
1,Merluccius merluccius,1979,0.427255709
1,Merluccius merluccius,1980,0.440794921
1,Merluccius merluccius,1981,0.446551834
1,Merluccius merluccius,1982,0.456212162
1,Merluccius merluccius,1983,0.453114301
1,Merluccius merluccius,1984,0.442983756
1,Merluccius merluccius,1985,0.442210734
1,Merluccius merluccius,1986,0.434594589
1,Merluccius merluccius,1987,0.433138118
1,Merluccius merluccius,1988,0.438370508
1,Merluccius merluccius,1989,0.439436341
1,Merluccius merluccius,1990,0.449008552
1,Merluccius merluccius,1991,0.462962748
1,Merluccius merluccius,1992,0.445433956
1,Merluccius merluccius,1993,0.440937087
1,Merluccius merluccius,1994,0.424637256
1,Merluccius merluccius,1995,0.406963042
1,Merluccius merluccius,1996,0.374632611
1,Merluccius merluccius,1997,0.360557493
1,Merluccius merluccius,1998,0.312533871
1,Merluccius merluccius,1999,0.309987596
1,Merluccius merluccius,2000,0.305849633
1,Merluccius merluccius,2001,0.293974205
1,Merluccius merluccius,2002,0.2844026
1,Merluccius merluccius,2003,0.28023479
