year,usd_to_ils,ils_to_usd
2004,0.227790433,4.39
2005,0.23147612,4.320100069
2006,0.216879751,4.61085
2007,0.237191651,4.216000001
2008,0.259602704,3.85204
2009,0.266570043,3.751359258
2010,0.265287173,3.7695
2011,0.281848929,3.548
2012,0.261814374,3.8195
2013,0.268061179,3.730491689
