year,cf2010
1774,0.037
1775,0.035
1776,0.04
1777,0.049
1778,0.063
1779,0.056
1780,0.063
1781,0.051
1782,0.055
1783,0.049
1784,0.047
1785,0.044
1786,0.044
1787,0.043
1788,0.041
1789,0.04
1790,0.042
1791,0.043
1792,0.044
1793,0.045
1794,0.05
1795,0.058
1796,0.061
1797,0.058
1798,0.056
1799,0.056
1800,0.058
1801,0.058
1802,0.049
1803,0.052
1804,0.054
1805,0.054
1806,0.056
1807,0.053
1808,0.058
1809,0.056
1810,0.056
1811,0.06
1812,0.061
1813,0.073
1814,0.081
1815,0.071
1816,0.065
1817,0.061
1818,0.058
1819,0.058
1820,0.054
1821,0.052
1822,0.054
1823,0.048
1824,0.044
1825,0.045
1826,0.045
1827,0.046
1828,0.044
1829,0.043
1830,0.042
1831,0.04
1832,0.039
1833,0.039
1834,0.039
1835,0.04
1836,0.043
1837,0.044
1838,0.043
1839,0.043
1840,0.04
1841,0.04
1842,0.038
1843,0.034
1844,0.034
1845,0.035
1846,0.035
1847,0.038
1848,0.036
1849,0.035
1850,0.036
1851,0.035
1852,0.035
1853,0.035
1854,0.039
1855,0.04
1856,0.039
1857,0.04
1858,0.038
1859,0.038
1860,0.038
1861,0.04
1862,0.046
1863,0.058
1864,0.072
1865,0.075
1866,0.073
1867,0.068
1868,0.065
1869,0.062
1870,0.06
1871,0.056
1872,0.056
1873,0.055
1874,0.052
1875,0.05
1876,0.049
1877,0.048
1878,0.046
1879,0.046
1880,0.047
1881,0.047
1882,0.047
1883,0.046
1884,0.045
1885,0.044
1886,0.043
1887,0.044
1888,0.044
1889,0.042
1890,0.042
1891,0.042
1892,0.042
1893,0.041
1894,0.039
1895,0.039
1896,0.039
1897,0.038
1898,0.038
1899,0.038
1900,0.039
1901,0.039
1902,0.039
1903,0.04
1904,0.041
1905,0.04
1906,0.041
1907,0.043
1908,0.042
1909,0.042
1910,0.044
1911,0.044
1912,0.044
1913,0.045
1914,0.046
1915,0.046
1916,0.05
1917,0.059
1918,0.069
1919,0.079
1920,0.092
1921,0.082
1922,0.077
1923,0.078
1924,0.078
1925,0.08
1926,0.081
1927,0.08
1928,0.078
1929,0.078
1930,0.077
1931,0.07
1932,0.063
1933,0.06
1934,0.061
1935,0.063
1936,0.064
1937,0.066
1938,0.065
1939,0.064
1940,0.064
1941,0.067
1942,0.075
1943,0.079
1944,0.081
1945,0.083
1946,0.089
1947,0.102
1948,0.111
1949,0.109
1950,0.111
1951,0.119
1952,0.122
1953,0.122
1954,0.123
1955,0.123
1956,0.125
1957,0.129
1958,0.133
1959,0.133
1960,0.136
1961,0.137
1962,0.138
1963,0.14
1964,0.142
1965,0.144
1966,0.149
1967,0.153
1968,0.16
1969,0.168
1970,0.178
1971,0.186
1972,0.192
1973,0.204
1974,0.226
1975,0.247
1976,0.261
1977,0.278
1978,0.299
1979,0.333
1980,0.378
1981,0.417
1982,0.443
1983,0.457
1984,0.476
1985,0.493
1986,0.503
1987,0.521
1988,0.543
1989,0.569
1990,0.599
1991,0.625
1992,0.643
1993,0.663
1994,0.68
1995,0.699
1996,0.72
1997,0.736
1998,0.748
1999,0.764
2000,0.79
2001,0.812
2002,0.825
2003,0.844
2004,0.866
2005,0.896
2006,0.925
2007,0.951
2008,0.987
2009,0.984
2010,1
2011,1.032
2012,1.053
2013,1.072
2014,1.094
2015,1.118
2016,1.141
2017,1.167
2018,1.193
2019,1.22
2020,1.247
2021,1.275
2022,1.304
2023,1.334
