"rgn_id","year","species","species_code","sust_coeff","sm_tonnes","sust_tonnes","popsum"
1,2000,"Barramundi(=Giant seaperch)",93,0.444010417,38,16.872395846,
1,2000,"Cupped oysters nei",684,0.888095238,0,0,
1,2000,"European seabass",94,0.452222222,54,24.419999988,
1,2000,"European seabass",685,0.452222222,236.666666666667,107.025925873333,
1,2000,"Gilthead seabream",95,0.286111111,0,0,
1,2000,"Gilthead seabream",686,0.286111111,2586.66666666667,740.074073786667,
1,2000,"Marine fishes nei",96,0.477777778,0,0,
1,2000,"Marine fishes nei",687,0.477777778,35,16.72222223,
1,2000,"Red drum",97,0.366666667,99,36.300000033,
1,2000,"Red drum",688,0.366666667,148.666666666667,54.5111111606667,
1,2000,"Striped bass, hybrid",689,0.444010417,36.6666666666667,16.2803819566667,
1,2001,"Barramundi(=Giant seaperch)",93,0.444010417,28.5,12.6542968845,
1,2001,"Cupped oysters nei",684,0.888095238,0,0,
1,2001,"European seabass",94,0.452222222,68,30.751111096,
1,2001,"European seabass",685,0.452222222,240.25,108.6463888355,
1,2001,"Gilthead seabream",95,0.286111111,0,0,
1,2001,"Gilthead seabream",686,0.286111111,2576.5,737.1652774915,
1,2001,"Marine fishes nei",96,0.477777778,0,0,
1,2001,"Marine fishes nei",687,0.477777778,27.25,13.0194444505,
1,2001,"Red drum",97,0.366666667,109.25,40.05833336975,
1,2001,"Red drum",688,0.366666667,186,68.200000062,
1,2001,"Striped bass, hybrid",689,0.444010417,30,13.32031251,
1,2002,"Barramundi(=Giant seaperch)",93,0.444010417,32.25,14.31933594825,
1,2002,"Cupped oysters nei",684,0.888095238,0.5,0.444047619,
1,2002,"European seabass",94,0.452222222,113,51.101111086,
1,2002,"European seabass",685,0.452222222,245,110.79444439,
1,2002,"Gilthead seabream",95,0.286111111,0,0,
1,2002,"Gilthead seabream",686,0.286111111,2663.75,762.12847192625,
1,2002,"Marine fishes nei",96,0.477777778,0,0,
1,2002,"Marine fishes nei",687,0.477777778,24,11.466666672,
1,2002,"Red drum",97,0.366666667,190,69.66666673,
1,2002,"Red drum",688,0.366666667,215.5,79.0166667385,
1,2002,"Striped bass, hybrid",689,0.444010417,21.25,9.43522136125,
1,2003,"Barramundi(=Giant seaperch)",93,0.444010417,42.75,18.98144532675,
1,2003,"Cupped oysters nei",684,0.888095238,0.75,0.6660714285,
1,2003,"European seabass",94,0.452222222,130.5,59.014999971,
1,2003,"European seabass",685,0.452222222,193,87.278888846,
1,2003,"Gilthead seabream",95,0.286111111,45.25,12.94652777275,
1,2003,"Gilthead seabream",686,0.286111111,2788,797.677777468,
1,2003,"Marine fishes nei",96,0.477777778,0,0,
1,2003,"Marine fishes nei",687,0.477777778,4.5,2.150000001,
1,2003,"Red drum",97,0.366666667,216.25,79.29166673875,
1,2003,"Red drum",688,0.366666667,188.75,69.20833339625,
