Israel,GDP,Year,,
,"18,589",2004,,
,"19,330",2005,,
,"21,405",2006,,
,"24,368",2007,,
,"29,160",2008,,
,"27,492",2009,,
,"30,389",2010,,
,"33,251",2011,,
,"32,567",2012,,
,"36,151",2013,,
,,,,
,,,,
