year ,rgn_id,district,Coastal city,Number of hotel Jobs ,Mean monthly wages Tourism
2008,6,Tel aviv,Tel aviv-Jaffa,"3264.00","7059.00"
2008,4,Center,Herzlia,594,"6241.00"
2008,4,Center,Netanya,594,"5282.00"
2009,6,Tel aviv,Tel aviv-Jaffa,"3303.00","7077.00"
2009,4,Center,Herzlia,651,"6216.00"
2009,4,Center,Netanya,559,"5576.00"
2010,6,Tel aviv,Tel aviv-Jaffa,"3533.00","7329.00"
2010,4,Center,Herzlia,666,"6608.00"
2010,4,Center,Netanya,576,"5968.00"
2011,6,Tel aviv,Tel aviv-Jaffa,"3739.00","7558.00"
2011,4,Center,Herzlia,686,"6778.00"
2011,4,Center,Netanya,591,"6194.00"
2012,6,Tel aviv,Tel aviv-Jaffa,"3872.00","7738.00"
2012,4,Center,Herzlia,697,"7071.00"
2012,4,Center,Netanya,587,"6546.00"
2013,6,Tel aviv,Tel aviv-Jaffa,"3926.00","7743.00"
2013,4,Center,Herzlia,713,"7449.00"
2013,4,Center,Netanya,599,"6694.00"
