"targets","layer","layer_old","name","description","citation_nature2012","citation_plos2013","fld_value","units","dir_2013a","fn_2013a","filename"
"pressures CW","po_trash","po_trash","Trash pollution","Density of trash from coastal land and sea","7.67","5.73","pressure_score","pressure score","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","po_trash2012.csv","po_trash_global2013.csv"
"pressures HAB","hab_presence","rnk_hab_presence","Habitat presence","Modeled combined habitat presence","6J",,"boolean","boolean","neptune_data:model/GL-NCEAS-Habitats_v2013a/data","hab_habitat_presence.csv","hab_presence_global2013.csv"
"resilience","alien_species","alien_species","Alien species","The number and type of invasive and harmful invasive species in each marine ecoregion","7.01","5.01","resilience score","resilience score","neptune_data:model/GL-NCEAS-Resilience_v2013a/data","r_alien_species_Nature2012disaggregated.csv","alien_species_global2013.csv"
"resilience","cites","cites","Resilience from commitment to CITES","Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES) signatories","7.16","5.15","resilience score","resilience score","neptune_data:model/GL-NCEAS-Resilience_v2013a/data","r_cites_2013a.csv","cites_global2013.csv"
"resilience","fishing_v1","fishing_v1","CBD survey: coastal fishing v1","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","7.14","5.14","resilience score","resilience score","neptune_data:model/GL-NCEAS-Resilience_v2013a/data","r_fishing_v1_2013a.csv","fishing_v1_global2013.csv"
"resilience","fishing_v1_eez","fishing_v1_eez","CBD survey: ocean fishing v1","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","7.14","5.14","resilience score","resilience score","neptune_data:model/GL-NCEAS-Resilience_v2013a/data","r_fishing_v1_eez_2013a.csv","fishing_v1_eez_global2013.csv"
"resilience","fishing_v2_eez","fishing_v2_eez","CBD survey: ocean fishing v2","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","7.14","5.14","resilience score","resilience score","neptune_data:model/GL-NCEAS-Resilience_v2013a/data","r_fishing_v2_eez_2013a.csv","fishing_v2_eez_global2013.csv"
"resilience","fishing_v3","fishing_v3","CBD survey: coastal fishing v3","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","7.14","5.14","resilience score","resilience score","neptune_data:model/GL-NCEAS-Resilience_v2013a/data","r_fishing_v3_2013a.csv","fishing_v3_global2013.csv"
"resilience","fishing_v3_eez","fishing_v3_eez","CBD survey: ocean fishing v3","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","7.14","5.14","resilience score","resilience score","neptune_data:model/GL-NCEAS-Resilience_v2013a/data","r_fishing_v3_eez_2013a.csv","fishing_v3_eez_global2013.csv"
"resilience","habitat","habitat","CBD survey: habitat","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","7.14","5.14","resilience score","resilience score","neptune_data:model/GL-NCEAS-Resilience_v2013a/data","r_habitat_2013a.csv","habitat_global2013.csv"
"resilience","habitat_combo","habitat_combo","CBD survey: coastal habitat","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","7.14","5.14","resilience score","resilience score","neptune_data:model/GL-NCEAS-Resilience_v2013a/data","r_habitat_combo_2013a.csv","habitat_combo_global2013.csv"
"resilience","habitat_combo_eez","habitat_combo_eez","CBD survey: ocean habitat","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","7.14","5.14","resilience score","resilience score","neptune_data:model/GL-NCEAS-Resilience_v2013a/data","r_habitat_combo_eez_2013a.csv","habitat_combo_eez_global2013.csv"
"resilience","li_gci","li_gci","GCI: competitiveness in achieving sustained economic prosperity","Global Competitiveness Index (GCI) scores (score)","7.23","5.23","score","resilience score","neptune_data:model/GL-WEF-Economics_v2013/data","rgn_wef_gci_2013a_rescaled.csv","li_gci_global2013.csv"
"resilience","li_sector_evenness","li_sector_evenness","Sector evenness as a measure of economic diversity","Shannon's Diversity Index calculated sector evenness based on the total number of sectors and the proportion of jobs belonging to any sector","7.6","5.66","resilience score","resilience score","neptune_data:model/GL-NCEAS-Resilience_v2013a/data","r_li_sector_evenness_2013a.csv","li_sector_evenness_global2013.csv"
"resilience","mariculture","mariculture","CBD survey: mariculture","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","7.14","5.14","resilience score","resilience score","neptune_data:model/GL-NCEAS-Resilience_v2013a/data","r_mariculture_2013a.csv","mariculture_global2013.csv"
"resilience","msi_gov","msi_gov"," MSI sustainability and regulations","Mariculture practice assessment criteria from the Mariculture Sustainability Index (MSI)","7.3","5.33","resilience score","resilience score","neptune_data:model/GL-NCEAS-Resilience_v2013a/data","r_msi_gov_2013a.csv","msi_gov_global2013.csv"
"resilience","species_diversity","species_diversity","Ocean ecological integrity","Marine species diversity as a proxy for ecological integrity: ocean","7.18","5.18","score","resilience score","neptune_data:model/GL-NCEAS-SpeciesDiversity_v2013a/data","rgn_spp_score_2013.csv","species_diversity_global2013.csv"
"resilience","species_diversity_3nm","species_diversity_3nm","Coastal ecological integrity","Marine species diversity as a proxy for ecological integrity: coastal","7.18","5.18","score","resilience score","neptune_data:model/GL-NCEAS-SpeciesDiversity_v2013a/data","rgn_spp_score_offshore3nm_2013.csv","species_diversity_3nm_global2013.csv"
"resilience","tourism","tourism","CBD survey: tourism","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","7.14","5.14","resilience score","resilience score","neptune_data:model/GL-NCEAS-Resilience_v2013a/data","r_tourism_2013a.csv","tourism_global2013.csv"
"resilience","water","water","CBD survey: water","Convention on Biological Diversity (CBD) Third National Survey questions in 2005","7.14","5.14","resilience score","resilience score","neptune_data:model/GL-NCEAS-Resilience_v2013a/data","r_water_2013a.csv","water_global2013.csv"
"resilience","wgi_all","wgi_all","Strength of governance indicated with the WGI","World Governance Indicators (WGI) six combined scores","7.7","5.77","score","resilience score","neptune_data:model/GL-WorldBank-WGI_v2011/data","rgn_wb_wgi_2013a_rescaled.csv","wgi_all_global2013.csv"
"spatial","cntry_georegions","cnk_cntry_georegions","Georegion ids per country, at 3 georegion levels","georegions per country, at 3 georegion levels","3",,"georgn_id","georegion id","neptune_data:model/GL-NCEAS-OceanRegions_v2013a/manual_output","cntry_georegions_long_2013b.csv","cntry_georegions_global2013.csv"
"spatial","cntry_rgn","cn_cntry_rgn","Regions per country","regions per country","3",,"rgn_id","region id","neptune_data:model/GL-NCEAS-OceanRegions_v2013a/manual_output","cntry_rgn_2013.csv","cntry_rgn_global2013.csv"
"spatial","rgn_area","rn_rgn_area","Region area of total EEZ ocean","region in water area","3",,"area_km2","km^2","neptune_data:model/GL-NCEAS-OceanRegions_v2013a/data","rgn_fao_gcs_area.csv","rgn_area_global2013.csv"
"spatial","rgn_area_inland1km","rn_rgn_area_inland1km","Region area 1 km inland","inland area 1 km from shore","3",,"area_km2","km^2","neptune_data:model/GL-NCEAS-OceanRegions_v2013a/data","rgn_area_inland1km.csv","rgn_area_inland1km_global2013.csv"
"spatial","rgn_area_offshore3nm","rn_rgn_area_offshore3nm","Region area offshore 3nm","offshore area 3 nautical miles from shore","3",,"area_km2","km^2","neptune_data:model/GL-NCEAS-OceanRegions_v2013a/data","rgn_area_offshore3nm.csv","rgn_area_offshore3nm_global2013.csv"
"spatial","rgn_georegion_labels","rtk_rgn_georegion_labels","Georegion labels per region, at 3 georegion levels","georegions per region, at 3 georegion levels","3",,"label","label","neptune_data:model/GL-NCEAS-OceanRegions_v2013a/manual_output","rgn_georegions_labels_long_2013b.csv","rgn_georegion_labels_global2013.csv"
"spatial","rgn_georegions","rnk_rgn_georegions","Georegion ids per region, at 3 georegion levels","georegions per region, at 3 georegion levels","3",,"georgn_id","georegion id","neptune_data:model/GL-NCEAS-OceanRegions_v2013a/manual_output","rgn_georegions_long_2013b.csv","rgn_georegions_global2013.csv"
"spatial","rgn_global","rnk_rgn_global","regions used in global analysis for Nature 2012, subset of regions_labels by type=eez and not deleted or disputed ","regions used in global analysis for Nature 2012, subset of regions_labels by type=eez and not deleted or disputed ","3",,"label","label","neptune_data:model/GL-NCEAS-OceanRegions_v2013a/data","rgn_global.csv","rgn_global_global2013.csv"
"spatial","rgn_labels","rtk_rgn_labels","regions by type (eez, subocean, unclaimed) and label","regions by type (eez, subocean, unclaimed) and label","3",,"label","label","neptune_data:model/GL-NCEAS-OceanRegions_v2013a/data","rgn_labels.csv","rgn_labels_global2013.csv"
