"targets","layer","layer_old","name","description","citation_nature2012","citation_plos2013","fld_value","units","dir_2013a","fn_2013a","filename"
"AO","ao_access","rn_ao_access","Fisheries management effectiveness and opportunity","The opportunity for artisanal and recreational fishing based on the quality of management of the small- scale fishing sector (Mora et al 2009)","7.04","5.04","value","value","neptune_data:model/GL-NCEAS-Resilience_v2013a/data","r_mora_s4_2013a.csv","ao_access_global2013.csv"
"AO","ao_need","rny_ao_need","Purchasing power parity as a proxy for subsistence fishing need, by region","The per capita purchasing power parity (PPP) adjusted gross domestic product (GDP): GDPpcPPP","7.05","5.05","value","value","neptune_data:model/GL-NCEAS-ArtisanalOpportunities_v2013a/data","rgn_wb_gdppcppp_rescaled_year_2013b.csv","ao_need_global2013.csv"
"CW","cw_coastalpopn_trend","rn_cw_coastalpopn_trend","Coastal human population as a proxy for trend in trash","Coastal population, defined as the total population inland of 25 miles ","6I","5.09","trend","trend score","neptune_data:model/GL-NCEAS-CoastalPopulation_v2013/data","rgn_popn5yrtrend_inland25mi_2008to2013.csv","cw_coastalpopn_trend_global2013.csv"
"CW","cw_fertilizer_trend","rn_cw_fertilizer_trend","Fertilizer consumption as a proxy for trend in nutrient pollution","Statistics on fertilizer consumption from the Food and Agricultural Organization (FAO) ","7.19","5.19","trend.score","trend score","neptune_data:model/GL-NCEAS_CW_trends_v2013a/data","GL-NCEAS_CW_Fertilizers_trend_v2013a.csv","cw_fertilizer_trend_global2013.csv"
"CW","cw_pathogen_trend","rn_cw_pathogen_trend","Trends in access to improved sanitation as a proxy for pathogen pollution trend","Trends in percent of population with access to improved sanitation facilities ","7.53","5.57","trend","trend score","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","po_pathogens_trend_sanitation2008to2011_popninland25km2008to2013.csv","cw_pathogen_trend_global2013.csv"
"CW","cw_pesticide_trend","rn_cw_pesticide_trend","Pesticide consumption as a proxy for trend in chemical pollution","Statistics on pesticides consumption from the Food and Agricultural Organization (FAO) ","6I","5.58","trend.score","trend score","neptune_data:model/GL-NCEAS_CW_trends_v2013a/data","GL-NCEAS_CW_Pesticides_trend_v2013a.csv","cw_pesticide_trend_global2013.csv"
"FIS","fis_b_bmsy","fnk_fis_b_bmsy","B/Bmsy estimates obtained using the catch-MSY method",,"6A","6A","b_bmsy","B / B_msy","neptune_data:model/GL-NCEAS_FIS_v2013a/RevisingFIS/data/","fnk_fis_b_bmsy_lyr.csv","fis_b_bmsy_global2013.csv"
"FIS","fis_meancatch","snk_fis_meancatch","Catch data for each Taxon/FAO/SAUP region averaged across years (1980-2011)","Reported data includes years 2006-2011","6A","6A","mean_catch","metric tons","neptune_data:model/GL-NCEAS_FIS_v2013a/RevisingFIS/data/","snk_fis_meancatch_lyr.csv","fis_meancatch_global2013.csv"
"FIS","fis_proparea_saup2rgn","snk_fis_proparea_saup2rgn","area of each saup/total OHI reporting region","For converting saup regions to OHI reporting regions","6A","6A","prop_area","proportion of area","neptune_data:model/GL-NCEAS_FIS_v2013a/RevisingFIS/data/","snk_fis_proparea_saup2rgn_lyr.csv","fis_proparea_saup2rgn_global2013.csv"
"FP","fp_wildcaught_weight","rn_fp_wildcaught_weight","Fisheries weighting factor","Proportional yield of wild caught fisheries","6A","5.2","w_fis","value","neptune_data:model/GL-NCEAS_FIS_v2013a","GL_FP_wildcaught_weight_v2013a_lyr.csv","fp_wildcaught_weight_global2013.csv"
"HAB CS CP","hab_extent","rnk_hab_extent","Habitat extent","Modeled combined habitat extent","6J",,"km2","km^2","neptune_data:model/GL-NCEAS-Habitats_v2013a/data","hab_habtitat_extent_NewSeaIce.csv","hab_extent_global2013.csv"
"HAB CS CP","hab_health","rnk_hab_health","Habitat health","Modeled combined habitat health condition trend","6J",,"health","value","neptune_data:model/GL-NCEAS-Habitats_v2013a/data","hab_habitat_health.csv","hab_health_global2013.csv"
"HAB CS CP","hab_trend","rnk_hab_trend","Habitat health trend","Modeled combined habitat health trend","6J",,"trend","trend score","neptune_data:model/GL-NCEAS-Habitats_v2013a/data","hab_habitat_trend.csv","hab_trend_global2013.csv"
"ICO","ico_spp_extinction_status","rnk_ico_spp_extinction_status","IUCN extinction risk category for iconic species","International Union for Conservation of Nature (IUCN) Red List threat categories with aggregated species lists ","7.27","5.29","category","category","neptune_data:model/GL-NCEAS-IconicSpecies_v2013/data","ico_spp_extinction_status.csv","ico_spp_extinction_status_global2013.csv"
"ICO","ico_spp_popn_trend","rnk_ico_spp_popn_trend","IUCN population trend as a proxy for iconic species trend","International Union for Conservation of Nature (IUCN) Red List threat categories with aggregated species lists ","7.27","5.29","popn_trend","trend score","neptune_data:model/GL-NCEAS-IconicSpecies_v2013/data","ico_spp_popn_trend.csv","ico_spp_popn_trend_global2013.csv"
"LE","le_gdp_pc_ppp","le_gdp_pc_ppp","Modeled Livelihoods & Economies data","gross domestic product per person at purchasing power parity","6F",,"usd","USD","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_cntry_gdp_pc_ppp_2013a.csv","le_gdp_pc_ppp_global2013.csv"
"LE","le_jobs_cur_adj_value","le_jobs_cur_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_jobs_cur_adj_value.csv","le_jobs_cur_adj_value_global2013.csv"
"LE","le_jobs_cur_base_value","le_jobs_cur_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_jobs_cur_base_value.csv","le_jobs_cur_base_value_global2013.csv"
"LE","le_jobs_ref_adj_value","le_jobs_ref_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_jobs_ref_adj_value.csv","le_jobs_ref_adj_value_global2013.csv"
"LE","le_jobs_ref_base_value","le_jobs_ref_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_jobs_ref_base_value.csv","le_jobs_ref_base_value_global2013.csv"
"LE","le_rev_cur_adj_value","le_rev_cur_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_rev_cur_adj_value.csv","le_rev_cur_adj_value_global2013.csv"
"LE","le_rev_cur_base_value","le_rev_cur_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_rev_cur_base_value.csv","le_rev_cur_base_value_global2013.csv"
"LE","le_rev_ref_adj_value","le_rev_ref_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_rev_ref_adj_value.csv","le_rev_ref_adj_value_global2013.csv"
"LE","le_rev_ref_base_value","le_rev_ref_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_rev_ref_base_value.csv","le_rev_ref_base_value_global2013.csv"
"LE","le_revenue_adj","le_revenue_adj","Modeled Livelihoods & Economies data","adjusted revenue","6F",,"usd","USD","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_revenue_adj.csv","le_revenue_adj_global2013.csv"
"LE","le_wage_cur_adj_value","le_wage_cur_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_wage_cur_adj_value.csv","le_wage_cur_adj_value_global2013.csv"
"LE","le_wage_cur_base_value","le_wage_cur_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_wage_cur_base_value.csv","le_wage_cur_base_value_global2013.csv"
"LE","le_wage_ref_adj_value","le_wage_ref_adj_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_wage_ref_adj_value.csv","le_wage_ref_adj_value_global2013.csv"
"LE","le_wage_ref_base_value","le_wage_ref_base_value","Modeled Livelihoods & Economies data","One of current or reference and base or adjusted value","6F",,"value","value","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_2013_status_model_curref_wage_ref_base_value.csv","le_wage_ref_base_value_global2013.csv"
"LE","le_workforcesize_adj","le_workforcesize_adj","Modeled Livelihoods & Economies data","adjusted workforce size","6F",,"jobs","jobs","ohiprep:Global/NCEAS-Livelihoods_v2013/data","le_workforcesize_adj.csv","le_workforcesize_adj_global2013.csv"
"LE pressures","le_sector_weight","rnk_le_sector_weight","Jobs weighting","Jobs weighting by sector (defaulting to 1)","6F",,"weight","value","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","le_sector_weight_disaggregateNature2012b.csv","le_sector_weight_global2013.csv"
"LIV ECO","le_popn","rny_le_popn","Total population by subregion","Population data from The World Bank",,"5.71","count","count","neptune_data:model/GL-WorldBank-Statistics_v2012/data","rgn_wb_pop_2013a_updated.csv","le_popn_global2013.csv"
"LIV ECO","liveco_status","rn_liveco_status","Modeled livelihoods and economies status","Modeled livelihoods and economies status based on new approach",,"5.41-5.46","value","status score","neptune_data:model/GL-NCEAS-LayersDisaggregated_v2013a/data","rgn_liv.eco_status_2013a.csv","liveco_status_global2013.csv"
"LIV ECO","liveco_trend","rn_liveco_trend","Modeled livelihoods and economies trend","Modeled livelihoods and economies trend based on new approach",,"5.41-5.46","value","trend score","neptune_data:model/GL-NCEAS-LayersDisaggregated_v2013a/data","rgn_liv.eco_trend_2013a.csv","liveco_trend_global2013.csv"
"LSP","lsp_prot_area_inland1km","rny_lsp_prot_area_inland1km","Coastal protected areas inland 1km","Coastal protected areas inland to 1km","6H","5.4","area_km2","km^2","neptune_data:model/GL-WDPA-MPA_v2013/data","lsp_prot_area_inland1km.csv","lsp_prot_area_inland1km_global2013.csv"
"LSP","lsp_prot_area_offshore3nm","rny_lsp_prot_area_offshore3nm","Coastal marine protected areas offshore 3km","Coastal marine protected areas offshore to 3nm","6H","5.4","area_km2","km^2","neptune_data:model/GL-WDPA-MPA_v2013/data","lsp_prot_area_offshore3nmb.csv","lsp_prot_area_offshore3nm_global2013.csv"
"MAR","mar_coastalpopn_inland25mi","mar_coastalpopn_inland25mi","Coastal population inland 25 miles","Coastal population inland 25 miles by year (2005-2015)",,,"popsum","people","neptune_data:model/GL-NCEAS-CoastalPopulation_v2013/data","rgn_popsum2005to2015_inland25mi.csv","mar_coastalpopn_inland25mi_global2013.csv"
"MAR","mar_harvest_species","mar_harvest_species","Mariculture species harvested",,,,"species","species name","neptune_data:model/GL-NCEAS_MAR_v2013a/Revision_Dec202013","mar_harvest_species_lyr.csv","mar_harvest_species_global2013.csv"
"MAR","mar_harvest_tonnes","mar_harvest_tonnes","Mariculture harvest","Mariculture harvest by species and year",,,"tonnes","tons","neptune_data:model/GL-NCEAS_MAR_v2013a/Revision_Dec202013","MAR_harvest_tonnes_lyr.csv","mar_harvest_tonnes_global2013.csv"
"MAR","mar_sustainability_score","mar_sustainability_score","Mariculture sustainability score","Mariculture sustainability score by species",,,"sust_coeff","sustainability","neptune_data:model/GL-NCEAS_MAR_v2013a/Revision_Dec202013","mar_sustainability_score_lyr.csv","mar_sustainability_score_global2013.csv"
"MAR","mar_trend_years","mar_trend_years","Mariculter years used for trend",,,,"trend_yrs","year string","neptune_data:model/GL-NCEAS_MAR_v2013a/Revision_Dec202013","mar_trend_years_lyr.csv","mar_trend_years_global2013.csv"
"NP","np_harvest_relative","rnky_np_harvest_relative","Harvest of marine resources","Yield and value of six marine resources (coral, fish oil, seaweed and plants, shells, sponges, ornamental fish)","6C","5.51-5.53","score","value","neptune_data:model/GL-NCEAS-NaturalProducts_v2013a/data","np_harvest_relative_v2013a_updated_lyr_NAmanualoverride.csv","np_harvest_relative_global2013.csv"
"NP","np_sustainability_score","rnk_np_sustainability_score","Sustainability of marine resource harvest","Assigned sustainability based on Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES) listed species","6C","5.51-5.53","score","value","neptune_data:model/GL-NCEAS-NaturalProducts_v2013a/data","np_sustainability_v2013a_updated_lyr.csv","np_sustainability_score_global2013.csv"
"NP pressures","np_weights_combo","rnk_np_weights_combo","Harvest of marine resources: weights","Weighting of marine resource harvest","6C","5.51-5.53","weight","tons","neptune_data:model/GL-NCEAS-NaturalProducts_v2013a/data","np_weight_combo_2013a_updated_lyr.csv","np_weights_combo_global2013.csv"
"pressures","cc_acid","cc_acid","Ocean acidification","Modeled distribution of the aragonite saturation state (AAS) of the ocean in pre-industrial (~1870) and modern times (2000-2009) from Halpern et al. 2008","7.52","5.56","pressure_score","pressure score","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","cc_acid_2013_NEW.csv","cc_acid_global2013.csv"
"pressures","cc_slr","cc_slr","Sea level rise","Modeled sea level rise after Halpern et al. 2008",,"5.63","pressure_score","pressure score","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","cc_slr_2013_NEW.csv","cc_slr_global2013.csv"
"pressures","cc_sst","cc_sst","Sea surface temperature (SST) anomalies","Modeled sea level rise after Halpern et al. 2008","7.58","5.64","pressure_score","pressure score","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","cc_sst_2013_NEW.csv","cc_sst_global2013.csv"
"pressures","cc_uv","cc_uv","UV radiation","Modeled UV radiation after Halpern et al. 2008","7.69","5.76","pressure_score","pressure score","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","cc_uv_2013_NEW.csv","cc_uv_global2013.csv"
"pressures","fp_art_hb","fp_art_hb","High bycatch caused by artisanal fishing ","The presence of destructive artisanal blast and poison (cyanide) fishing","7.02","5.02","pressures.score","pressure score","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","p_fp_art_hb_disaggregateNature2012.csv","fp_art_hb_global2013.csv"
"pressures","fp_art_lb","fp_art_lb","Low bycatch caused by artisanal fishing ","Statistics of low bycatch artisanal fishing using non-destructive practices","7.03","5.03","pressure_score","pressure score","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","fp_art_lb_2013_NEW.csv","fp_art_lb_global2013.csv"
"pressures","fp_com_hb","fp_com_hb","High bycatch caused by commercial fishing ","Statistics of destructive commercial fishing practices by 5 different gear types (developed in Halpern et al. 2008)","7.11","5.11","pressure_score","pressure score","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","fp_com_hb_2013_NEW.csv","fp_com_hb_global2013.csv"
"pressures","fp_com_lb","fp_com_lb","Low bycatch caused by commercial fishing ","Statistics of least destructive commercial fishing practices by 2 different gear types (developed in Halpern et al. 2008)","7.12","5.12","pressure_score","pressure score","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","fp_com_lb_2013_NEW.csv","fp_com_lb_global2013.csv"
"pressures","fp_targetharvest","fp_targetharvest","Targeted harvest of cetaceans and sea turtles","Targeted harvest of cetaceans and marine turtles, from Food and Agricultural Organization data","7.63","5.7","score","pressure score","neptune_data:model/GL-FAO-TargetedHarvest_v2011/data","rgn_fao_targeted_2013a_rescaled.csv","fp_targetharvest_global2013.csv"
"pressures","hd_intertidal","hd_intertidal","Coastal population density as a proxy for intertidal habitat destruction","Coastal population density within 10 km of the coast","7.24","5.25","pressure_score","pressure score","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","hd_intertidal_2013_NEW.csv","hd_intertidal_global2013.csv"
"pressures","hd_subtidal_hb","hd_subtidal_hb","High bycatch artisanal fishing practices as a proxy for subtidal hard bottom habitat destruction","The presence of destructive artisanal blast and poison (cyanide) fishing","7.25","5.26","value","pressure score","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","p_hd_subtidal_hb_v2013a.csv","hd_subtidal_hb_global2013.csv"
"pressures","hd_subtidal_sb","hd_subtidal_sb","High bycatch commercial fishing practices as a proxy for subtidal soft bottom habitat destruction","Spatially distributed commercial catch data by fishing gear type, developed by Sea Around Us Project","7.26","5.27","pressures.score","pressure score","neptune_data:model/GL-NCEAS-subtidal_softbottom_v2013a/data","po_rgn_hd_subtidal_sb_2013a.csv","hd_subtidal_sb_global2013.csv"
"pressures","po_chemicals_3nm","po_chemicals_3nm","Land-based chemical pollution","Land-based organic pollution at 1km2 resolution (as developed in Halpern et al. 2008)","7.06-7.09","5.06-5.07","pressure_score","pressure score","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","po_chemicals_3nm_2013_NEW.csv","po_chemicals_3nm_global2013.csv"
"pressures","po_nutrients_3nm","po_nutrients_3nm","Coastal nutrient pollution","Modeled coastal nutrient pollution based on Halpern et al. 2008","7.51","5.55","pressure_score","pressure score","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","po_nutrients_3nm_2013_NEW.csv","po_nutrients_3nm_global2013.csv"
"pressures","sp_alien","sp_alien","Alien species","The number and type of invasive and harmful invasive species in each marine ecoregion","7.01","5.01","pressures.score","pressure score","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","p_sp_alien_2013a.csv","sp_alien_global2013.csv"
"pressures","sp_genetic","sp_genetic","Introduced species as a proxy for genetic escapes ","Statistics on native or introduced species from the Mariculture Sustainibility Index (MSI)","7.22","5.22","pressures.score","pressure score","neptune_data:model/GL-NCEAS-Pressures-GenEsc_v2013a/data","GenEsc_v2013a.csv","sp_genetic_global2013.csv"
"pressures","ss_wgi","ss_wgi","Weakness of governance indicated with the WGI","Inverse of World Governance Indicators (WGI) six combined scores","7.7","5.77","score","pressure score","neptune_data:model/GL-WorldBank-WGI_v2011/data","rgn_wb_wgi_2013a_rescaled_inverse.csv","ss_wgi_global2013.csv"
"pressures CP","cp_habitat_extent_rank","rnk_cp_habitat_extent_rank","Habitat extent * rank, per Coastal Protection habitats","Habitat extent * habitat rank for Coastal Protection habitats: coral, mangrove offshore 1km, mangrove inland 1km, saltmarsh, seaice_shoreline and seagrass","6E",,"extent_rank","rank","neptune_data:model/GL-NCEAS-Habitats_v2013a/data","cp_habitat_extent_rank.csv","cp_habitat_extent_rank_global2013.csv"
"pressures CS","cs_habitat_extent","rnk_cs_habitat_extent","Habitat extent * rank, per Carbon Storage habitats","Habitat extent * habitat rank for Carbon Storage habitats: mangrove, saltmarsh and seagrass","6D",,"km2","km^2","neptune_data:model/GL-NCEAS-Habitats_v2013a/data","cs_habitat_extent.csv","cs_habitat_extent_global2013.csv"
"pressures CW","po_chemicals","po_chemicals","Ocean-based chemical pollution","Ocean-based chemical pollution from commercial shipping traffic and ports and harbors","7.06-7.08","5.08","pressure_score","pressure score","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","po_chemicals_2013_NEW.csv","po_chemicals_global2013.csv"
"pressures CW","po_nutrients","po_nutrients","Ocean nutrient pollution","Modeled ocean nutrient pollution based on Halpern et al. 2008","7.51","5.55","pressure_score","pressure score","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","po_nutrients_2013_NEW.csv","po_nutrients_global2013.csv"
"pressures CW","po_pathogens","po_pathogens","Access to improved sanitation as a proxy for pathogen pollution","Percent of population with access to improved sanitation facilities ","7.53","5.57","pressure_score","pressure score","neptune_data:model/GL-NCEAS-Pressures_v2013a/data","po_pathogens_sanitation2011_popninland25km2013.csv","po_pathogens_global2013.csv"
