"rgn_id","year","popsum"
1,2005,6823610
4,2005,6823610
5,2005,6823610
2,2005,6823610
3,2005,6823610
6,2005,6823610
1,2006,6970410
4,2006,6970410
5,2006,6970410
2,2006,6970410
3,2006,6970410
6,2006,6970410
1,2007,7117200
4,2007,7117200
5,2007,7117200
2,2007,7117200
3,2007,7117200
6,2007,7117200
1,2008,7264000
4,2008,7264000
5,2008,7264000
2,2008,7264000
3,2008,7264000
6,2008,7264000
1,2009,7410790
4,2009,7410790
5,2009,7410790
2,2009,7410790
3,2009,7410790
6,2009,7410790
1,2010,7557580
4,2010,7557580
5,2010,7557580
2,2010,7557580
3,2010,7557580
6,2010,7557580
1,2011,7697440
4,2011,7697440
5,2011,7697440
2,2011,7697440
3,2011,7697440
6,2011,7697440
1,2012,7837290
4,2012,7837290
5,2012,7837290
2,2012,7837290
3,2012,7837290
6,2012,7837290
1,2013,7977150
4,2013,7977150
5,2013,7977150
2,2013,7977150
3,2013,7977150
6,2013,7977150
1,2014,8117000
4,2014,8117000
5,2014,8117000
2,2014,8117000
3,2014,8117000
6,2014,8117000
1,2015,8256860
4,2015,8256860
5,2015,8256860
2,2015,8256860
3,2015,8256860
6,2015,8256860
