"cntry_key","sector","year","value"
"ISR","aqf",2004,19536628.1755008
"ISR","aqf",2005,19206250.0000448
"ISR","aqf",2006,19273686.4864992
"ISR","aqf",2007,22412012.6182624
"ISR","aqf",2008,25305645.390144
"ISR","aqf",2009,73696
"ISR","cf",2002,38625826.90624
"ISR","cf",2007,19895545.7344
"ISR","mar",2002,50701928.61386
"ISR","mar",2007,52568942.17044
"ISR","mar",2009,28128086.88
"ISR","og",2004,0
"ISR","og",2005,0
"ISR","og",2006,0
"ISR","og",2007,0
"ISR","og",2008,0
"ISR","og",2009,0
"ISR","tour",2007,5746620163.26
"ISR","tour",2008,6344498245.42
"ISR","tour",2009,6141771584.95
"ISR","tour",2010,5993497820.57
"ISR","tour",2011,1.7171e+10
"ISR","tour",2012,1.836e+10
