"rgn_id","product","year","usd"
1,"fish_oil",1999,3.66666666666667
4,"fish_oil",1999,3.66666666666667
5,"fish_oil",1999,3.66666666666667
2,"fish_oil",1999,3.66666666666667
3,"fish_oil",1999,3.66666666666667
6,"fish_oil",1999,3.66666666666667
1,"fish_oil",2000,2.75
4,"fish_oil",2000,2.75
5,"fish_oil",2000,2.75
2,"fish_oil",2000,2.75
3,"fish_oil",2000,2.75
6,"fish_oil",2000,2.75
1,"fish_oil",2001,3.25
4,"fish_oil",2001,3.25
5,"fish_oil",2001,3.25
2,"fish_oil",2001,3.25
3,"fish_oil",2001,3.25
6,"fish_oil",2001,3.25
1,"fish_oil",2002,1.25
4,"fish_oil",2002,1.25
5,"fish_oil",2002,1.25
2,"fish_oil",2002,1.25
3,"fish_oil",2002,1.25
6,"fish_oil",2002,1.25
1,"fish_oil",2003,1.25
4,"fish_oil",2003,1.25
5,"fish_oil",2003,1.25
2,"fish_oil",2003,1.25
3,"fish_oil",2003,1.25
6,"fish_oil",2003,1.25
1,"fish_oil",2004,10.5
4,"fish_oil",2004,10.5
5,"fish_oil",2004,10.5
2,"fish_oil",2004,10.5
3,"fish_oil",2004,10.5
6,"fish_oil",2004,10.5
1,"fish_oil",2005,9.25
4,"fish_oil",2005,9.25
5,"fish_oil",2005,9.25
2,"fish_oil",2005,9.25
3,"fish_oil",2005,9.25
6,"fish_oil",2005,9.25
1,"fish_oil",2006,9.25
4,"fish_oil",2006,9.25
5,"fish_oil",2006,9.25
2,"fish_oil",2006,9.25
3,"fish_oil",2006,9.25
6,"fish_oil",2006,9.25
1,"fish_oil",2007,16.25
4,"fish_oil",2007,16.25
5,"fish_oil",2007,16.25
2,"fish_oil",2007,16.25
3,"fish_oil",2007,16.25
6,"fish_oil",2007,16.25
1,"fish_oil",2008,9.33333333333333
4,"fish_oil",2008,9.33333333333333
5,"fish_oil",2008,9.33333333333333
2,"fish_oil",2008,9.33333333333333
3,"fish_oil",2008,9.33333333333333
6,"fish_oil",2008,9.33333333333333
1,"fish_oil",2009,14
4,"fish_oil",2009,14
5,"fish_oil",2009,14
2,"fish_oil",2009,14
3,"fish_oil",2009,14
6,"fish_oil",2009,14
1,"ornamentals",1976,16.3333333333333
4,"ornamentals",1976,16.3333333333333
5,"ornamentals",1976,16.3333333333333
2,"ornamentals",1976,16.3333333333333
3,"ornamentals",1976,16.3333333333333
6,"ornamentals",1976,16.3333333333333
1,"ornamentals",1977,19.75
4,"ornamentals",1977,19.75
5,"ornamentals",1977,19.75
2,"ornamentals",1977,19.75
3,"ornamentals",1977,19.75
6,"ornamentals",1977,19.75
1,"ornamentals",1978,14.75
4,"ornamentals",1978,14.75
5,"ornamentals",1978,14.75
2,"ornamentals",1978,14.75
3,"ornamentals",1978,14.75
6,"ornamentals",1978,14.75
1,"ornamentals",1979,7.5
4,"ornamentals",1979,7.5
5,"ornamentals",1979,7.5
2,"ornamentals",1979,7.5
3,"ornamentals",1979,7.5
6,"ornamentals",1979,7.5
1,"ornamentals",1980,7.5
4,"ornamentals",1980,7.5
5,"ornamentals",1980,7.5
2,"ornamentals",1980,7.5
3,"ornamentals",1980,7.5
6,"ornamentals",1980,7.5
1,"ornamentals",1981,0
4,"ornamentals",1981,0
5,"ornamentals",1981,0
2,"ornamentals",1981,0
3,"ornamentals",1981,0
6,"ornamentals",1981,0
1,"ornamentals",1982,0
4,"ornamentals",1982,0
5,"ornamentals",1982,0
2,"ornamentals",1982,0
3,"ornamentals",1982,0
6,"ornamentals",1982,0
1,"ornamentals",1983,0
4,"ornamentals",1983,0
5,"ornamentals",1983,0
2,"ornamentals",1983,0
3,"ornamentals",1983,0
6,"ornamentals",1983,0
1,"ornamentals",1984,0
4,"ornamentals",1984,0
5,"ornamentals",1984,0
2,"ornamentals",1984,0
3,"ornamentals",1984,0
6,"ornamentals",1984,0
1,"ornamentals",1985,0
4,"ornamentals",1985,0
5,"ornamentals",1985,0
