"rgn_id","count","year"
3,2114020,1960
4,2114020,1960
2,2114020,1960
1,2114020,1960
3,2185000,1961
4,2185000,1961
2,2185000,1961
1,2185000,1961
3,2293000,1962
4,2293000,1962
2,2293000,1962
1,2293000,1962
3,2379000,1963
4,2379000,1963
2,2379000,1963
1,2379000,1963
3,2475000,1964
4,2475000,1964
2,2475000,1964
1,2475000,1964
3,2563000,1965
4,2563000,1965
2,2563000,1965
1,2563000,1965
3,2629000,1966
4,2629000,1966
2,2629000,1966
1,2629000,1966
3,2745000,1967
4,2745000,1967
2,2745000,1967
1,2745000,1967
3,2803000,1968
4,2803000,1968
2,2803000,1968
1,2803000,1968
3,2877000,1969
4,2877000,1969
2,2877000,1969
1,2877000,1969
3,2974000,1970
4,2974000,1970
2,2974000,1970
1,2974000,1970
3,3069000,1971
4,3069000,1971
2,3069000,1971
1,3069000,1971
3,3148000,1972
4,3148000,1972
2,3148000,1972
1,3148000,1972
3,3278000,1973
4,3278000,1973
2,3278000,1973
1,3278000,1973
3,3377000,1974
4,3377000,1974
2,3377000,1974
1,3377000,1974
3,3455000,1975
4,3455000,1975
2,3455000,1975
1,3455000,1975
3,3533000,1976
4,3533000,1976
2,3533000,1976
1,3533000,1976
3,3613000,1977
4,3613000,1977
2,3613000,1977
1,3613000,1977
3,3690000,1978
4,3690000,1978
2,3690000,1978
1,3690000,1978
3,3786000,1979
4,3786000,1979
2,3786000,1979
1,3786000,1979
3,3878000,1980
4,3878000,1980
2,3878000,1980
1,3878000,1980
3,3956000,1981
4,3956000,1981
2,3956000,1981
1,3956000,1981
3,4031000,1982
4,4031000,1982
2,4031000,1982
1,4031000,1982
3,4105000,1983
4,4105000,1983
2,4105000,1983
1,4105000,1983
3,4159000,1984
4,4159000,1984
2,4159000,1984
1,4159000,1984
3,4233000,1985
4,4233000,1985
2,4233000,1985
1,4233000,1985
3,4299000,1986
4,4299000,1986
2,4299000,1986
1,4299000,1986
3,4369000,1987
4,4369000,1987
2,4369000,1987
1,4369000,1987
3,4442000,1988
4,4442000,1988
2,4442000,1988
1,4442000,1988
3,4518000,1989
4,4518000,1989
2,4518000,1989
1,4518000,1989
3,4660000,1990
4,4660000,1990
2,4660000,1990
1,4660000,1990
3,4949000,1991
4,4949000,1991
2,4949000,1991
1,4949000,1991
3,5123000,1992
4,5123000,1992
2,5123000,1992
1,5123000,1992
3,5261000,1993
4,5261000,1993
2,5261000,1993
1,5261000,1993
3,5399000,1994
4,5399000,1994
2,5399000,1994
1,5399000,1994
3,5545000,1995
4,5545000,1995
2,5545000,1995
1,5545000,1995
3,5692000,1996
4,5692000,1996
2,5692000,1996
1,5692000,1996
3,5836000,1997
4,5836000,1997
2,5836000,1997
1,5836000,1997
3,5971000,1998
4,5971000,1998
2,5971000,1998
1,5971000,1998
3,6125000,1999
4,6125000,1999
2,6125000,1999
1,6125000,1999
3,6289000,2000
4,6289000,2000
2,6289000,2000
1,6289000,2000
3,6439000,2001
4,6439000,2001
2,6439000,2001
1,6439000,2001
3,6570000,2002
4,6570000,2002
2,6570000,2002
1,6570000,2002
3,6689700,2003
4,6689700,2003
2,6689700,2003
1,6689700,2003
3,6809000,2004
4,6809000,2004
2,6809000,2004
1,6809000,2004
3,6930100,2005
4,6930100,2005
2,6930100,2005
1,6930100,2005
3,7053700,2006
4,7053700,2006
2,7053700,2006
1,7053700,2006
3,7180100,2007
4,7180100,2007
2,7180100,2007
1,7180100,2007
3,7308800,2008
4,7308800,2008
2,7308800,2008
1,7308800,2008
3,7485600,2009
4,7485600,2009
2,7485600,2009
1,7485600,2009
3,7623600,2010
4,7623600,2010
2,7623600,2010
1,7623600,2010
3,7765900,2011
4,7765900,2011
2,7765900,2011
1,7765900,2011
3,7907900,2012
4,7907900,2012
2,7907900,2012
1,7907900,2012
