goal,component,component_name,po_desal,po_chemicals,po_chemicals_3nm,po_pathogens,po_nutrients,po_trash,hd_subtidal_sb,hd_intertidal,sp_alien,fp_com_hb,fp_com_lb,fp_art_lb,cc_sst,cc_acid,cc_uv,cc_slr,ss_wgi
FIS,,,,1,,,,,2,1,,3,1,1,3,,,,1
MAR,,,,2,,,1,,,,,,,,2,,,1,1
AO,,,2,,1,,1,,3,1,1,2,1,,1,,,,1
NP,,,,2,,1,,,,,1,,,,,,,,1
CP,sand_dunes,,,,,,,,,3,,,,,,,,,1
TR,,,,,3,3,3,3,,,1,,,,1,,,2,1
ECO,mar,Mariculture,,2,,,,,,,,,,,1,,,1,1
ECO,tour,Tourism,,3,,3,3,3,,,1,,,,1,,,2,1
LIV,mar,Mariculture,,2,,,,,,,,,,,1,,,1,1
LIV,tour,Tourism,,3,,3,3,3,,,1,,,,1,,,2,1
ICO,,,,,3,,1,1,,3,1,2,1,1,1,1,,,1
LSP,,,,,2,,2,3,2,3,1,,,,,,,2,1
CW,,,2,,3,3,3,3,,,,,,,,,,,1
HAB,sand_dunes,,,,2,,,3,,3,1,,,,,,,3,1
HAB,soft_bottom,,2,,2,,2,,3,,3,3,1,1,1,,,,1
SPP,,,2,2,,,3,1,3,2,3,3,1,1,1,1,1,,1
